Gene stable ID	Gene name	Mouse gene stable ID	Mouse homology type
ENSMMUG00000035621	U1	ENSMUSG00000065027	ortholog_many2many
ENSMMUG00000035621	U1	ENSMUSG00000064830	ortholog_many2many
ENSMMUG00000035621	U1	ENSMUSG00000088212	ortholog_many2many
ENSMMUG00000035621	U1	ENSMUSG00002076893	ortholog_many2many
ENSMMUG00000035621	U1	ENSMUSG00002075210	ortholog_many2many
ENSMMUG00000035621	U1	ENSMUSG00002076013	ortholog_many2many
ENSMMUG00000050926	Y_RNA		
ENSMMUG00000047025	Metazoa_SRP		
ENSMMUG00000051961	U6		
ENSMMUG00000056846			
ENSMMUG00000062726			
ENSMMUG00000036728	SCARNA16		
ENSMMUG00000050964	Metazoa_SRP		
ENSMMUG00000065137			
ENSMMUG00000057829	Y_RNA		
ENSMMUG00000061941	Metazoa_SRP		
ENSMMUG00000054812	Metazoa_SRP		
ENSMMUG00000059354	U6		
ENSMMUG00000045839	Metazoa_SRP		
ENSMMUG00000054381			
ENSMMUG00000049093	Metazoa_SRP		
ENSMMUG00000057363			
ENSMMUG00000051050			
ENSMMUG00000054970			
ENSMMUG00000055981		ENSMUSG00000060073	ortholog_one2many
ENSMMUG00000052461			
ENSMMUG00000058124			
ENSMMUG00000060426	Metazoa_SRP		
ENSMMUG00000059666	U6	ENSMUSG00000088001	ortholog_one2one
ENSMMUG00000060006	snoU13		
ENSMMUG00000025681	U6		
ENSMMUG00000062580			
ENSMMUG00000001382	GJA8	ENSMUSG00000049908	ortholog_one2one
ENSMMUG00000043586	ID3	ENSMUSG00000007872	ortholog_one2one
ENSMMUG00000052364			
ENSMMUG00000052910			
ENSMMUG00000064896	Metazoa_SRP		
ENSMMUG00000060928			
ENSMMUG00000011380	CNST	ENSMUSG00000038949	ortholog_one2one
ENSMMUG00000002585	CCDC190	ENSMUSG00000070532	ortholog_one2one
ENSMMUG00000062933			
ENSMMUG00000059690			
ENSMMUG00000055490	TFB2M	ENSMUSG00000026492	ortholog_one2one
ENSMMUG00000055003			
ENSMMUG00000056502			
ENSMMUG00000055345	Y_RNA		
ENSMMUG00000026049	Y_RNA		
ENSMMUG00000005777	SMYD3	ENSMUSG00000055067	ortholog_one2one
ENSMMUG00000024556	U6		
ENSMMUG00000008153	NPR1	ENSMUSG00000027931	ortholog_one2one
ENSMMUG00000017324	KIF26B	ENSMUSG00000026494	ortholog_one2one
ENSMMUG00000050220			
ENSMMUG00000052401	Metazoa_SRP		
ENSMMUG00000059892	Metazoa_SRP		
ENSMMUG00000027317	U1	ENSMUSG00000065303	ortholog_one2many
ENSMMUG00000008847	SH2D5	ENSMUSG00000045349	ortholog_one2one
ENSMMUG00000011424	EFCAB2	ENSMUSG00000026495	ortholog_one2one
ENSMMUG00000057396	Metazoa_SRP		
ENSMMUG00000036930	U6		
ENSMMUG00000060683	mml-mir-7180		
ENSMMUG00000023150	KIAA1143	ENSMUSG00000032551	ortholog_one2one
ENSMMUG00000051140	U6		
ENSMMUG00000053368			
ENSMMUG00000036090	U6		
ENSMMUG00000050136	Metazoa_SRP		
ENSMMUG00000060516			
ENSMMUG00000054234	SERP1	ENSMUSG00000027808	ortholog_one2one
ENSMMUG00000021098	HNRNPU	ENSMUSG00000039630	ortholog_one2one
ENSMMUG00000013353		ENSMUSG00000036503	ortholog_one2many
ENSMMUG00000059986			
ENSMMUG00000062668	U6		
ENSMMUG00000058292			
ENSMMUG00000031175	COX20	ENSMUSG00000026500	ortholog_one2one
ENSMMUG00000048085			
ENSMMUG00000062648			
ENSMMUG00000054073			
ENSMMUG00000057626			
ENSMMUG00000018525	PSEN2	ENSMUSG00000010609	ortholog_one2one
ENSMMUG00000022310	DESI2	ENSMUSG00000026502	ortholog_one2one
ENSMMUG00000058133			
ENSMMUG00000052237	Metazoa_SRP		
ENSMMUG00000012031	COL8A2	ENSMUSG00000056174	ortholog_one2one
ENSMMUG00000000021	CATSPERE	ENSMUSG00000091476	ortholog_one2many
ENSMMUG00000000021	CATSPERE	ENSMUSG00000102483	ortholog_one2many
ENSMMUG00000008636	COQ8A	ENSMUSG00000026489	ortholog_one2one
ENSMMUG00000050632	ADPRS	ENSMUSG00000042558	ortholog_one2one
ENSMMUG00000021388	CIART	ENSMUSG00000038550	ortholog_one2one
ENSMMUG00000062093			
ENSMMUG00000000016	ADSS2	ENSMUSG00000015961	ortholog_one2one
ENSMMUG00000012028	TEKT2	ENSMUSG00000028845	ortholog_one2one
ENSMMUG00000010176	DTL	ENSMUSG00000037474	ortholog_one2one
ENSMMUG00000000015	SPMIP3	ENSMUSG00000015962	ortholog_one2one
ENSMMUG00000058747			
ENSMMUG00000059503	Metazoa_SRP		
ENSMMUG00000053405	Metazoa_SRP		
ENSMMUG00000058339			
ENSMMUG00000041413	mml-mir-3122		
ENSMMUG00000006252	AGO3	ENSMUSG00000028842	ortholog_one2one
ENSMMUG00000048772			
ENSMMUG00000050870	U6	ENSMUSG00000065090	ortholog_one2one
ENSMMUG00000039543	Metazoa_SRP		
ENSMMUG00000053438			
ENSMMUG00000047935			
ENSMMUG00000011832	E2F2	ENSMUSG00000018983	ortholog_one2one
ENSMMUG00000055596	Metazoa_SRP		
ENSMMUG00000008149	ILF2	ENSMUSG00000001016	ortholog_one2one
ENSMMUG00000015664	ZBTB18	ENSMUSG00000063659	ortholog_one2one
ENSMMUG00000061500			
ENSMMUG00000019771	PPP2R5A	ENSMUSG00000026626	ortholog_one2one
ENSMMUG00000063991			
ENSMMUG00000058567			
ENSMMUG00000055600			
ENSMMUG00000058282			
ENSMMUG00000044406	POU3F1	ENSMUSG00000090125	ortholog_one2one
ENSMMUG00000049847			
ENSMMUG00000026424	SNORA16		
ENSMMUG00000055817	Metazoa_SRP		
ENSMMUG00000042021	ASAP3	ENSMUSG00000036995	ortholog_one2one
ENSMMUG00000006251	AGO1	ENSMUSG00000041530	ortholog_one2one
ENSMMUG00000002141	PACC1	ENSMUSG00000026627	ortholog_one2one
ENSMMUG00000008836	DDOST	ENSMUSG00000028758	ortholog_one2one
ENSMMUG00000002142	NENF	ENSMUSG00000037499	ortholog_one2one
ENSMMUG00000019995	AKT3	ENSMUSG00000019699	ortholog_one2one
ENSMMUG00000000932	PPP2R3A	ENSMUSG00000043154	ortholog_one2one
ENSMMUG00000053224	SNAPIN	ENSMUSG00000001018	ortholog_one2one
ENSMMUG00000015158	SLC6A9	ENSMUSG00000028542	ortholog_one2one
ENSMMUG00000022196	GPR160	ENSMUSG00000037661	ortholog_one2one
ENSMMUG00000008835	PINK1	ENSMUSG00000028756	ortholog_one2one
ENSMMUG00000008146	CHTOP	ENSMUSG00000001017	ortholog_one2one
ENSMMUG00000064143	Metazoa_SRP		
ENSMMUG00000034148	U4	ENSMUSG00002076258	ortholog_one2one
ENSMMUG00000010977	TCEA3	ENSMUSG00000001604	ortholog_one2one
ENSMMUG00000008145	S100A1	ENSMUSG00000044080	ortholog_one2one
ENSMMUG00000056564	CDA	ENSMUSG00000028755	ortholog_one2one
ENSMMUG00000003304	EPHB3	ENSMUSG00000005958	ortholog_one2one
ENSMMUG00000015156	CCDC24	ENSMUSG00000078588	ortholog_one2one
ENSMMUG00000057586	S100A13	ENSMUSG00000042312	ortholog_one2one
ENSMMUG00000031508		ENSMUSG00000024537	ortholog_one2many
ENSMMUG00000054804	Metazoa_SRP		
ENSMMUG00000003343	AGO4	ENSMUSG00000042500	ortholog_one2one
ENSMMUG00000060391			
ENSMMUG00000055518	S100A14	ENSMUSG00000042306	ortholog_one2one
ENSMMUG00000000933	MSL2	ENSMUSG00000066415	ortholog_one2one
ENSMMUG00000025174	Y_RNA		
ENSMMUG00000057562			
ENSMMUG00000050612	Metazoa_SRP		
ENSMMUG00000057322			
ENSMMUG00000064198		ENSMUSG00000108981	ortholog_one2many
ENSMMUG00000063790			
ENSMMUG00000051858			
ENSMMUG00000015155	B4GALT2	ENSMUSG00000028541	ortholog_one2one
ENSMMUG00000050796	FAM43B	ENSMUSG00000078235	ortholog_one2one
ENSMMUG00000045106	S100A16	ENSMUSG00000074457	ortholog_one2one
ENSMMUG00000061927	Metazoa_SRP		
ENSMMUG00000008638	CDC42BPA	ENSMUSG00000026490	ortholog_one2one
ENSMMUG00000016974	DNAH1	ENSMUSG00000019027	ortholog_one2one
ENSMMUG00000010973	ZNF436	ENSMUSG00000051351	ortholog_one2one
ENSMMUG00000002953	MAGEF1		
ENSMMUG00000061122			
ENSMMUG00000010978	S100A2	ENSMUSG00000094018	ortholog_one2one
ENSMMUG00000051774	MUL1	ENSMUSG00000041241	ortholog_one2one
ENSMMUG00000054972			
ENSMMUG00000052045	Metazoa_SRP		
ENSMMUG00000055243			
ENSMMUG00000022199	PHC3	ENSMUSG00000037652	ortholog_one2one
ENSMMUG00000019994	SDCCAG8	ENSMUSG00000026504	ortholog_one2one
ENSMMUG00000050423			
ENSMMUG00000031655	S100A3	ENSMUSG00000001021	ortholog_one2one
ENSMMUG00000053265			
ENSMMUG00000022884	GLUL	ENSMUSG00000026473	ortholog_one2one
ENSMMUG00000063102	CAMK2N1	ENSMUSG00000046447	ortholog_one2one
ENSMMUG00000010979	S100A4	ENSMUSG00000001020	ortholog_one2one
ENSMMUG00000015150	DPH2	ENSMUSG00000028540	ortholog_one2one
ENSMMUG00000010970	HNRNPR	ENSMUSG00000066037	ortholog_one2one
ENSMMUG00000010980	S100A5	ENSMUSG00000001023	ortholog_one2one
ENSMMUG00000064110			
ENSMMUG00000008917	S100A6	ENSMUSG00000001025	ortholog_one2one
ENSMMUG00000055701			
ENSMMUG00000053474	Metazoa_SRP		
ENSMMUG00000022886	TEDDM1	ENSMUSG00000043282	ortholog_one2many
ENSMMUG00000022886	TEDDM1	ENSMUSG00000047053	ortholog_one2many
ENSMMUG00000003262	PCCB	ENSMUSG00000032527	ortholog_one2one
ENSMMUG00000058556	U6	ENSMUSG00000065903	ortholog_one2one
ENSMMUG00000011221	FCAMR	ENSMUSG00000026415	ortholog_one2one
ENSMMUG00000049444			
ENSMMUG00000040678	Metazoa_SRP		
ENSMMUG00000006022	VWA5B1	ENSMUSG00000028753	ortholog_one2one
ENSMMUG00000001803	GJA5	ENSMUSG00000057123	ortholog_one2one
ENSMMUG00000010961	CLSPN	ENSMUSG00000042489	ortholog_one2one
ENSMMUG00000059457			
ENSMMUG00000022173	C1H1orf116	ENSMUSG00000042510	ortholog_one2one
ENSMMUG00000047604	Metazoa_SRP		
ENSMMUG00000056485			
ENSMMUG00000032222	HTR1D		
ENSMMUG00000022171	YOD1	ENSMUSG00000046404	ortholog_one2one
ENSMMUG00000061389	Metazoa_SRP		
ENSMMUG00000004833			
ENSMMUG00000031291	RGSL1	ENSMUSG00000042641	ortholog_one2one
ENSMMUG00000004835			
ENSMMUG00000012185	ATF3	ENSMUSG00000026628	ortholog_one2one
ENSMMUG00000036025	U6		
ENSMMUG00000056752	U6		
ENSMMUG00000001349	CHL1	ENSMUSG00000030077	ortholog_one2one
ENSMMUG00000052576	GARIN4	ENSMUSG00000091017	ortholog_one2one
ENSMMUG00000005740	USP24	ENSMUSG00000028514	ortholog_one2one
ENSMMUG00000047853			
ENSMMUG00000045584	LUZP1	ENSMUSG00000001089	ortholog_one2one
ENSMMUG00000013857	GCLM	ENSMUSG00000028124	ortholog_one2one
ENSMMUG00000016982	BAP1	ENSMUSG00000021901	ortholog_one2one
ENSMMUG00000052341			
ENSMMUG00000056664	U6		
ENSMMUG00000015142	IPO13	ENSMUSG00000033365	ortholog_one2one
ENSMMUG00000004832			
ENSMMUG00000022170	PFKFB2	ENSMUSG00000026409	ortholog_one2one
ENSMMUG00000035795	U7		
ENSMMUG00000038517	UBXN10	ENSMUSG00000043621	ortholog_one2one
ENSMMUG00000021387	C1H1orf54	ENSMUSG00000038543	ortholog_one2one
ENSMMUG00000015056	BATF3	ENSMUSG00000026630	ortholog_one2one
ENSMMUG00000044778	S100A8	ENSMUSG00000056054	ortholog_one2one
ENSMMUG00000052344	PLA2G2C	ENSMUSG00000028750	ortholog_one2one
ENSMMUG00000059270	C1H1orf216	ENSMUSG00000073755	ortholog_one2one
ENSMMUG00000061945	U6	ENSMUSG00000065143	ortholog_one2one
ENSMMUG00000064796	S100A12		
ENSMMUG00000006868	S100A9	ENSMUSG00000056071	ortholog_one2many
ENSMMUG00000006868	S100A9	ENSMUSG00000121904	ortholog_one2many
ENSMMUG00000006868	S100A9	ENSMUSG00000121905	ortholog_one2many
ENSMMUG00000006868	S100A9	ENSMUSG00000096621	ortholog_one2many
ENSMMUG00000008435	DNTTIP2	ENSMUSG00000039756	ortholog_one2one
ENSMMUG00000049733	PLA2G2F	ENSMUSG00000028749	ortholog_one2one
ENSMMUG00000005634	RNASEL	ENSMUSG00000066800	ortholog_one2one
ENSMMUG00000006865	PGLYRP4	ENSMUSG00000042250	ortholog_one2one
ENSMMUG00000019287	NSL1	ENSMUSG00000062510	ortholog_one2one
ENSMMUG00000013090	PSMB2	ENSMUSG00000028837	ortholog_one2one
ENSMMUG00000058244		ENSMUSG00000108981	ortholog_one2many
ENSMMUG00000052239	U6	ENSMUSG00002075265	ortholog_one2many
ENSMMUG00000053940	PGLYRP3	ENSMUSG00000042244	ortholog_one2one
ENSMMUG00000064041			
ENSMMUG00000032677	MIR760		
ENSMMUG00000060204	Metazoa_SRP		
ENSMMUG00000053534	Metazoa_SRP		
ENSMMUG00000045550	PLA2G2D	ENSMUSG00000041202	ortholog_one2one
ENSMMUG00000051554	Metazoa_SRP		
ENSMMUG00000022168	C4BPB		
ENSMMUG00000009773	KDM1A	ENSMUSG00000036940	ortholog_one2one
ENSMMUG00000042187	MIR4677		
ENSMMUG00000043598	LORICRIN		
ENSMMUG00000055481	RGS16	ENSMUSG00000026475	ortholog_one2one
ENSMMUG00000061167	ARTN	ENSMUSG00000028539	ortholog_one2one
ENSMMUG00000045959		ENSMUSG00000058558	ortholog_one2one
ENSMMUG00000019815	TFAP2E	ENSMUSG00000042477	ortholog_one2one
ENSMMUG00000031430	TATDN3	ENSMUSG00000026632	ortholog_one2one
ENSMMUG00000021750	PRR9	ENSMUSG00000056270	ortholog_one2one
ENSMMUG00000064805	PLA2G5	ENSMUSG00000041193	ortholog_one2one
ENSMMUG00000051645			
ENSMMUG00000011222	PRKCI	ENSMUSG00000037643	ortholog_one2one
ENSMMUG00000057430			
ENSMMUG00000051591			
ENSMMUG00000016984	PHF7	ENSMUSG00000021902	ortholog_one2one
ENSMMUG00000064352			
ENSMMUG00000059169	SPATA45	ENSMUSG00000057072	ortholog_one2one
ENSMMUG00000013738	C4BPA	ENSMUSG00000042554	ortholog_one2one
ENSMMUG00000008990	RGS8	ENSMUSG00000042671	ortholog_one2one
ENSMMUG00000021862	PLA2G2A	ENSMUSG00000058908	ortholog_one2one
ENSMMUG00000049143			
ENSMMUG00000037766	Metazoa_SRP		
ENSMMUG00000019812	NCDN	ENSMUSG00000028833	ortholog_one2one
ENSMMUG00000015924	BCAR3	ENSMUSG00000028121	ortholog_one2one
ENSMMUG00000055077	ZBTB8B	ENSMUSG00000048485	ortholog_one2one
ENSMMUG00000050331	Metazoa_SRP		
ENSMMUG00000041086	Metazoa_SRP		
ENSMMUG00000011732	FLVCR1	ENSMUSG00000066595	ortholog_one2one
ENSMMUG00000053964	PLA2G2E	ENSMUSG00000028751	ortholog_one2one
ENSMMUG00000000425	VPS8	ENSMUSG00000033653	ortholog_one2one
ENSMMUG00000018872	SEMA3G	ENSMUSG00000021904	ortholog_one2one
ENSMMUG00000015555	ST3GAL3	ENSMUSG00000028538	ortholog_one2one
ENSMMUG00000061474			
ENSMMUG00000055316			
ENSMMUG00000019914	CEP170	ENSMUSG00000057335	ortholog_one2one
ENSMMUG00000020834	UTP11	ENSMUSG00000028907	ortholog_one2one
ENSMMUG00000054857			
ENSMMUG00000010764	OTUD3	ENSMUSG00000041161	ortholog_one2one
ENSMMUG00000055798			
ENSMMUG00000036441	SNORA31		
ENSMMUG00000064729	SPRR3	ENSMUSG00000045539	ortholog_one2one
ENSMMUG00000057296			
ENSMMUG00000011733	VASH2	ENSMUSG00000037568	ortholog_one2one
ENSMMUG00000005618	TNNC1	ENSMUSG00000091898	ortholog_one2one
ENSMMUG00000023624	Metazoa_SRP		
ENSMMUG00000015922	FNBP1L	ENSMUSG00000039735	ortholog_one2one
ENSMMUG00000001264	BSDC1	ENSMUSG00000040859	ortholog_one2one
ENSMMUG00000063702			
ENSMMUG00000054613	RNF186	ENSMUSG00000070661	ortholog_one2one
ENSMMUG00000008992	NPL	ENSMUSG00000042684	ortholog_one2one
ENSMMUG00000016215	HIVEP3	ENSMUSG00000028634	ortholog_one2one
ENSMMUG00000042618	IVL		
ENSMMUG00000011711	CD55	ENSMUSG00000026401	ortholog_one2many
ENSMMUG00000011711	CD55	ENSMUSG00000026399	ortholog_one2many
ENSMMUG00000017740	SMCP		
ENSMMUG00000019806	KIAA0319L	ENSMUSG00000028830	ortholog_one2one
ENSMMUG00000011735	ANGEL2	ENSMUSG00000026634	ortholog_one2one
ENSMMUG00000002492	TMCO4	ENSMUSG00000041143	ortholog_one2one
ENSMMUG00000016214	EDN2	ENSMUSG00000028635	ortholog_one2one
ENSMMUG00000037367	U6	ENSMUSG00000064964	ortholog_one2many
ENSMMUG00000055038			
ENSMMUG00000003263	STAG1	ENSMUSG00000037286	ortholog_one2one
ENSMMUG00000054634	LCE1F		
ENSMMUG00000044175	FOXO6	ENSMUSG00000052135	ortholog_one2one
ENSMMUG00000063714			
ENSMMUG00000051719			
ENSMMUG00000027973	Y_RNA		
ENSMMUG00000052260	Metazoa_SRP		
ENSMMUG00000059561			
ENSMMUG00000054650			
ENSMMUG00000049795	Y_RNA		
ENSMMUG00000058472			
ENSMMUG00000058332	TEX46	ENSMUSG00000036921	ortholog_one2one
ENSMMUG00000043588			
ENSMMUG00000064604	Metazoa_SRP		
ENSMMUG00000056940			
ENSMMUG00000062759			
ENSMMUG00000062448	Metazoa_SRP		
ENSMMUG00000063749	HTR6	ENSMUSG00000028747	ortholog_one2one
ENSMMUG00000048617	Metazoa_SRP		
ENSMMUG00000050859	Y_RNA		
ENSMMUG00000005619	NISCH	ENSMUSG00000021910	ortholog_one2one
ENSMMUG00000055266			
ENSMMUG00000041482	LACTBL1	ENSMUSG00000070683	ortholog_one2one
ENSMMUG00000012479	KDM4A	ENSMUSG00000033326	ortholog_one2one
ENSMMUG00000061742	Metazoa_SRP		
ENSMMUG00000051816	KPRP	ENSMUSG00000059832	ortholog_one2one
ENSMMUG00000039099	SKIL	ENSMUSG00000027660	ortholog_one2one
ENSMMUG00000063085	Metazoa_SRP		
ENSMMUG00000005635	DHX9	ENSMUSG00000042699	ortholog_one2one
ENSMMUG00000017104	SCMH1	ENSMUSG00000000085	ortholog_one2one
ENSMMUG00000001966	KPLCE		
ENSMMUG00000013602	CR2	ENSMUSG00000026616	ortholog_one2one
ENSMMUG00000032231	NBL1	ENSMUSG00000041120	ortholog_one2one
ENSMMUG00000053960	Metazoa_SRP		
ENSMMUG00000059167	Metazoa_SRP		
ENSMMUG00000016812	CCDC18	ENSMUSG00000056531	ortholog_one2one
ENSMMUG00000049843			
ENSMMUG00000062996			
ENSMMUG00000014874	GTPBP8	ENSMUSG00000022668	ortholog_one2one
ENSMMUG00000004265	PLD5	ENSMUSG00000055214	ortholog_one2one
ENSMMUG00000008549	CNTN6	ENSMUSG00000030092	ortholog_one2one
ENSMMUG00000049286	LCE2B		
ENSMMUG00000059260	CLDN11	ENSMUSG00000037625	ortholog_one2one
ENSMMUG00000064556	MRPS25	ENSMUSG00000014551	ortholog_one2one
ENSMMUG00000003581	TMIGD3	ENSMUSG00000074344	ortholog_one2one
ENSMMUG00000053735			
ENSMMUG00000023382	EPHB2	ENSMUSG00000028664	ortholog_one2one
ENSMMUG00000017103	SLFNL1	ENSMUSG00000047518	ortholog_one2one
ENSMMUG00000058094			
ENSMMUG00000005210	RPS6KC1	ENSMUSG00000089872	ortholog_one2one
ENSMMUG00000056808			
ENSMMUG00000056341	TSSK3	ENSMUSG00000000411	ortholog_one2one
ENSMMUG00000013596	CR1	ENSMUSG00000016481	ortholog_one2one
ENSMMUG00000014876	NEPRO	ENSMUSG00000036208	ortholog_one2one
ENSMMUG00000050804		ENSMUSG00000025204	ortholog_one2many
ENSMMUG00000053498			
ENSMMUG00000013987	SLC7A14	ENSMUSG00000069072	ortholog_one2one
ENSMMUG00000035346	U6		
ENSMMUG00000000352	FAM229A	ENSMUSG00000078554	ortholog_one2one
ENSMMUG00000052516	U6		
ENSMMUG00000058456	CRCT1		
ENSMMUG00000005158	RBSN	ENSMUSG00000014550	ortholog_one2one
ENSMMUG00000001967	LCE5A	ENSMUSG00000068889	ortholog_one2many
ENSMMUG00000001967	LCE5A	ENSMUSG00000027919	ortholog_one2many
ENSMMUG00000053723			
ENSMMUG00000003579	C1H1orf162	ENSMUSG00000074342	ortholog_one2one
ENSMMUG00000017101	CTPS1	ENSMUSG00000028633	ortholog_one2one
