Gene stable ID	RefSeq mRNA predicted ID
ENSBTAG00000013806	XM_059884987
ENSBTAG00000046385	
ENSBTAG00000046385	XM_024991178
ENSBTAG00000046385	XM_024991173
ENSBTAG00000004061	XM_024997204
ENSBTAG00000000746	
ENSBTAG00000000746	XM_059889721
ENSBTAG00000000746	XM_024997590
ENSBTAG00000000752	
ENSBTAG00000021158	XM_059883800
ENSBTAG00000021158	XM_005202140
ENSBTAG00000021158	XM_024988520
ENSBTAG00000021158	XM_024988547
ENSBTAG00000021158	XM_024988567
ENSBTAG00000012023	
ENSBTAG00000053325	
ENSBTAG00000049158	XM_059879399
ENSBTAG00000049158	XM_059879349
ENSBTAG00000049158	XM_024981404
ENSBTAG00000049158	XM_059879515
ENSBTAG00000049158	XM_059879422
ENSBTAG00000049158	XM_059879365
ENSBTAG00000049158	
ENSBTAG00000049158	XM_024981584
ENSBTAG00000049158	XM_005200897
ENSBTAG00000049158	XM_010800689
ENSBTAG00000049158	XM_024981575
ENSBTAG00000004538	
ENSBTAG00000037965	XM_010801386
ENSBTAG00000037965	XM_010801385
ENSBTAG00000037965	XM_059889752
ENSBTAG00000051758	XM_024990739
ENSBTAG00000012867	XM_059889765
ENSBTAG00000012867	XM_005201907
ENSBTAG00000012867	XM_002685068
ENSBTAG00000002896	
ENSBTAG00000072601	
ENSBTAG00000016954	
ENSBTAG00000016954	XM_024985325
ENSBTAG00000016954	XM_059881660
ENSBTAG00000012497	XM_059885750
ENSBTAG00000012497	XM_059885751
ENSBTAG00000012497	
ENSBTAG00000049541	XM_059885365
ENSBTAG00000049541	XM_024989756
ENSBTAG00000049541	
ENSBTAG00000049601	
ENSBTAG00000057223	
ENSBTAG00000058520	
ENSBTAG00000068359	
ENSBTAG00000073813	
ENSBTAG00000077371	
ENSBTAG00000071185	
ENSBTAG00000075812	
ENSBTAG00000069648	
ENSBTAG00000065429	
ENSBTAG00000066274	
ENSBTAG00000072917	
ENSBTAG00000067658	
ENSBTAG00000067180	
ENSBTAG00000067785	
ENSBTAG00000073502	
ENSBTAG00000076583	
ENSBTAG00000059893	
ENSBTAG00000071595	
ENSBTAG00000078368	
ENSBTAG00000066606	
ENSBTAG00000075090	
ENSBTAG00000043742	
ENSBTAG00000047651	
ENSBTAG00000052043	
ENSBTAG00000074503	XM_024990716
ENSBTAG00000074503	XM_024990733
ENSBTAG00000074503	XM_024990719
ENSBTAG00000074503	XM_024990714
ENSBTAG00000019314	XM_002684646
ENSBTAG00000019314	XM_010800945
ENSBTAG00000019314	XM_005201158
ENSBTAG00000019314	XM_005201159
ENSBTAG00000019314	XM_010800946
ENSBTAG00000019314	XM_010800947
ENSBTAG00000019314	
ENSBTAG00000047293	XM_024993846
ENSBTAG00000047293	
ENSBTAG00000009851	XM_059885541
ENSBTAG00000009851	XM_059885545
ENSBTAG00000009851	XM_059885547
ENSBTAG00000009851	XM_059885552
ENSBTAG00000009851	
ENSBTAG00000009851	XM_059885529
ENSBTAG00000009851	XM_059885536
ENSBTAG00000009851	XM_059885531
ENSBTAG00000009851	XM_059885537
ENSBTAG00000009851	XM_059885533
ENSBTAG00000036262	
ENSBTAG00000002623	
ENSBTAG00000073338	
ENSBTAG00000054574	
ENSBTAG00000054574	XM_024993880
ENSBTAG00000054574	XM_024993883
ENSBTAG00000054574	XM_024993887
ENSBTAG00000035064	
ENSBTAG00000034905	
ENSBTAG00000061729	
ENSBTAG00000061729	XM_005205122
ENSBTAG00000024431	XM_024990550
ENSBTAG00000024431	
ENSBTAG00000018363	
ENSBTAG00000018363	XM_059885443
ENSBTAG00000003810	XM_005205147
ENSBTAG00000050705	XM_015468210
ENSBTAG00000050705	XM_015468211
ENSBTAG00000050705	XM_059886032
ENSBTAG00000050705	XM_002686653
ENSBTAG00000050705	XM_059886034
ENSBTAG00000050705	XM_059886033
ENSBTAG00000008155	XM_024990785
ENSBTAG00000008155	XM_059885670
ENSBTAG00000008155	XM_059885672
ENSBTAG00000008155	XM_059885671
ENSBTAG00000050410	XM_024990961
ENSBTAG00000057170	
ENSBTAG00000044023	
ENSBTAG00000044023	XM_005205135
ENSBTAG00000044023	XM_024990618
ENSBTAG00000044023	XM_005205137
ENSBTAG00000044023	XM_005205138
ENSBTAG00000044023	XM_005205136
ENSBTAG00000003531	XM_059886027
ENSBTAG00000003531	
ENSBTAG00000048664	XM_059885774
ENSBTAG00000048664	
ENSBTAG00000048664	XM_059885779
ENSBTAG00000048664	XM_059885777
ENSBTAG00000048664	XM_059885767
ENSBTAG00000048664	XM_059885770
ENSBTAG00000048664	XM_059885778
ENSBTAG00000048664	XM_059885772
ENSBTAG00000048664	XM_059885769
ENSBTAG00000048664	XM_059885768
ENSBTAG00000048664	XM_059885776
ENSBTAG00000048664	XM_059885771
ENSBTAG00000048664	XM_059885775
ENSBTAG00000003625	XM_059885762
ENSBTAG00000003625	XM_059885763
ENSBTAG00000003625	
ENSBTAG00000003625	XM_005205087
ENSBTAG00000003625	XM_059885764
ENSBTAG00000003625	XM_005205090
ENSBTAG00000003625	XM_005205089
ENSBTAG00000045617	
ENSBTAG00000014016	XM_059885721
ENSBTAG00000014016	
ENSBTAG00000014016	XM_059885722
ENSBTAG00000014016	XM_059885724
ENSBTAG00000014016	XM_005205108
ENSBTAG00000014016	XM_005205106
ENSBTAG00000014016	XM_005205107
ENSBTAG00000014016	XM_024990858
ENSBTAG00000014016	XM_005205103
ENSBTAG00000014016	XM_005205098
ENSBTAG00000014016	XM_005205109
ENSBTAG00000014016	XM_005205105
ENSBTAG00000014016	XM_005205110
ENSBTAG00000014016	XM_059885719
ENSBTAG00000014016	XM_059885720
ENSBTAG00000014016	XM_059885723
ENSBTAG00000014016	XM_005205102
ENSBTAG00000014016	XM_005205101
ENSBTAG00000014016	XM_005205100
ENSBTAG00000014016	XM_024990855
ENSBTAG00000014016	XM_024990854
ENSBTAG00000007442	XM_024990979
ENSBTAG00000007442	XM_024990978
ENSBTAG00000007442	XM_024990975
ENSBTAG00000007442	XM_010803979
ENSBTAG00000007442	XM_024990974
ENSBTAG00000007442	XM_024990972
ENSBTAG00000007442	XM_024990970
ENSBTAG00000007442	XM_010803980
ENSBTAG00000007442	XM_024990971
ENSBTAG00000007442	XM_024990976
ENSBTAG00000001992	
ENSBTAG00000001571	XM_059885781
ENSBTAG00000001571	XM_059885780
ENSBTAG00000002750	XM_059885429
ENSBTAG00000002750	XM_005205119
ENSBTAG00000002750	XM_005205118
ENSBTAG00000002750	XM_015467969
ENSBTAG00000002750	XM_010803972
ENSBTAG00000002750	
ENSBTAG00000034936	XM_059885440
ENSBTAG00000034936	XM_024990532
ENSBTAG00000034936	XM_024990529
ENSBTAG00000034936	XM_024990530
ENSBTAG00000008428	XM_024990660
ENSBTAG00000008428	XM_015467949
ENSBTAG00000008428	XM_005205117
ENSBTAG00000008428	XM_059885561
ENSBTAG00000017086	XM_010803961
ENSBTAG00000017086	XM_059885422
ENSBTAG00000017086	XM_059885423
ENSBTAG00000017086	XM_059885421
ENSBTAG00000017086	XM_059885420
ENSBTAG00000017086	
ENSBTAG00000017086	XM_024990509
ENSBTAG00000017086	XM_024990508
ENSBTAG00000017086	XM_024990510
ENSBTAG00000017086	XM_059885419
ENSBTAG00000017086	XM_024990511
ENSBTAG00000020869	XM_059885376
ENSBTAG00000020869	
ENSBTAG00000020869	XM_059885373
ENSBTAG00000020869	XM_059885375
ENSBTAG00000020869	XM_024990403
ENSBTAG00000020869	XM_024990402
ENSBTAG00000020869	XM_024990404
ENSBTAG00000020869	XM_024990406
ENSBTAG00000001500	
ENSBTAG00000001500	XM_059885685
ENSBTAG00000001500	XM_005205095
ENSBTAG00000001500	XM_005205096
ENSBTAG00000001500	XM_005205097
ENSBTAG00000001500	XM_005205094
ENSBTAG00000043955	XM_002686634
ENSBTAG00000005499	
ENSBTAG00000005499	XM_005205111
ENSBTAG00000044068	XM_059885794
ENSBTAG00000044068	XM_010803968
ENSBTAG00000023806	
ENSBTAG00000023806	XM_059885791
ENSBTAG00000023806	XM_059885793
ENSBTAG00000023806	XM_024990960
ENSBTAG00000023806	XM_059885792
ENSBTAG00000023806	XM_059885790
ENSBTAG00000002107	
ENSBTAG00000077245	XM_059886028
ENSBTAG00000048169	XM_059886035
ENSBTAG00000079073	
ENSBTAG00000077636	
ENSBTAG00000073769	
ENSBTAG00000077350	
ENSBTAG00000060343	
ENSBTAG00000072651	
ENSBTAG00000056855	
ENSBTAG00000076116	
ENSBTAG00000062875	
ENSBTAG00000056524	
ENSBTAG00000068488	
ENSBTAG00000066436	
ENSBTAG00000070221	
ENSBTAG00000078687	
ENSBTAG00000071059	
ENSBTAG00000071893	
ENSBTAG00000072985	
ENSBTAG00000071944	
ENSBTAG00000060280	
ENSBTAG00000059333	
ENSBTAG00000078827	
ENSBTAG00000045389	
ENSBTAG00000044931	
ENSBTAG00000030095	
ENSBTAG00000038422	
ENSBTAG00000034347	
ENSBTAG00000038512	
ENSBTAG00000010462	XM_059887566
ENSBTAG00000010462	XM_024993922
ENSBTAG00000010462	XM_024993905
ENSBTAG00000010462	XM_024993901
ENSBTAG00000010462	XM_059887563
ENSBTAG00000010462	XM_059887558
ENSBTAG00000010462	XM_024993915
ENSBTAG00000010462	XM_024993907
ENSBTAG00000010462	XM_059887572
ENSBTAG00000010462	XM_024993918
ENSBTAG00000010462	XM_024993910
ENSBTAG00000010462	
ENSBTAG00000076267	
ENSBTAG00000060824	
ENSBTAG00000073033	
ENSBTAG00000056526	
ENSBTAG00000073885	
ENSBTAG00000058583	
ENSBTAG00000063163	
ENSBTAG00000072355	
ENSBTAG00000075555	
ENSBTAG00000074741	
ENSBTAG00000043669	
ENSBTAG00000043751	
ENSBTAG00000050084	
ENSBTAG00000013541	
ENSBTAG00000013541	XM_005206981
ENSBTAG00000013541	XM_010805456
ENSBTAG00000013541	XM_010805454
ENSBTAG00000013541	XM_059886521
ENSBTAG00000013541	XM_005206982
ENSBTAG00000022360	
ENSBTAG00000022360	XM_059886536
ENSBTAG00000022360	XM_024991911
ENSBTAG00000022360	XM_059886535
ENSBTAG00000022360	XM_010805411
ENSBTAG00000022360	XM_005206952
ENSBTAG00000022360	XM_024991914
ENSBTAG00000022360	XM_005206951
ENSBTAG00000022360	XM_059886534
ENSBTAG00000022360	XM_015471236
ENSBTAG00000022360	XM_010805417
ENSBTAG00000022360	XM_010805415
ENSBTAG00000022360	XM_010805413
ENSBTAG00000022360	XM_024991902
ENSBTAG00000022360	XM_010805416
ENSBTAG00000005833	XM_002687736
ENSBTAG00000010818	
ENSBTAG00000010818	XM_010805458
ENSBTAG00000001673	
ENSBTAG00000001673	XM_059886445
ENSBTAG00000001673	XM_059886436
ENSBTAG00000001673	XM_059886440
ENSBTAG00000001673	XM_059886435
ENSBTAG00000001673	XM_059886437
ENSBTAG00000001673	XM_059886433
ENSBTAG00000001673	XM_005206947
ENSBTAG00000001673	XM_059886438
ENSBTAG00000001673	XM_059886446
ENSBTAG00000001673	XM_059886444
ENSBTAG00000001673	XM_005206948
ENSBTAG00000001673	XM_059886442
ENSBTAG00000001673	XM_059886439
ENSBTAG00000001673	XM_059886441
ENSBTAG00000000593	
ENSBTAG00000026611	
ENSBTAG00000026611	XM_024992597
ENSBTAG00000010136	
ENSBTAG00000019294	
ENSBTAG00000019294	XM_005206966
ENSBTAG00000019294	XM_005206965
ENSBTAG00000019294	XM_002687737
ENSBTAG00000019294	XM_005206963
ENSBTAG00000019294	XM_059887043
ENSBTAG00000019294	XM_059887042
ENSBTAG00000072324	
ENSBTAG00000019603	
ENSBTAG00000013333	
ENSBTAG00000053951	XM_024991563
ENSBTAG00000053951	
ENSBTAG00000000379	
ENSBTAG00000021083	
ENSBTAG00000021078	
ENSBTAG00000021078	XM_059886187
ENSBTAG00000021078	XM_024991470
ENSBTAG00000003282	XM_010805398
ENSBTAG00000003282	XM_059886122
ENSBTAG00000003282	XM_024991375
ENSBTAG00000003282	
ENSBTAG00000010530	
ENSBTAG00000022329	XM_005206931
ENSBTAG00000076736	
ENSBTAG00000019602	XM_005206939
ENSBTAG00000019602	XM_010805405
ENSBTAG00000019602	XM_005206940
ENSBTAG00000019602	XM_015471233
ENSBTAG00000019602	
ENSBTAG00000010717	XM_005204571
ENSBTAG00000010717	
ENSBTAG00000010717	XM_005204572
ENSBTAG00000017260	XM_002687752
ENSBTAG00000008541	XM_005206974
ENSBTAG00000000393	
ENSBTAG00000064544	XM_024992146
ENSBTAG00000064544	
ENSBTAG00000013961	
ENSBTAG00000013961	XM_005204551
ENSBTAG00000021980	
ENSBTAG00000021980	XM_059886396
ENSBTAG00000021980	XM_005206936
ENSBTAG00000021980	XM_059886395
ENSBTAG00000021980	XM_024991718
ENSBTAG00000021980	XM_024991719
ENSBTAG00000000749	XM_024992591
ENSBTAG00000000749	XM_059887038
ENSBTAG00000000749	XM_059887031
ENSBTAG00000000749	XM_059887030
ENSBTAG00000000749	XM_024992594
ENSBTAG00000000749	XM_059887037
ENSBTAG00000000749	XM_059887036
ENSBTAG00000000749	XM_024992593
ENSBTAG00000000749	XM_059887033
ENSBTAG00000000749	XM_059887034
ENSBTAG00000000749	XM_059887035
ENSBTAG00000000749	XM_059887032
ENSBTAG00000013202	XM_059886150
ENSBTAG00000013202	XM_059886149
ENSBTAG00000013202	XM_024991430
ENSBTAG00000013202	XM_059886148
ENSBTAG00000013202	XM_024991429
ENSBTAG00000013202	XM_059886147
ENSBTAG00000010715	
ENSBTAG00000010715	XM_059883269
ENSBTAG00000020715	XM_010805453
ENSBTAG00000020715	XM_010805449
ENSBTAG00000020715	XM_059886332
ENSBTAG00000020715	XM_059886331
ENSBTAG00000020715	
ENSBTAG00000020037	
ENSBTAG00000020037	XM_010803512
ENSBTAG00000020037	XM_005204553
ENSBTAG00000020037	XM_005204555
ENSBTAG00000020037	XM_005204552
ENSBTAG00000030493	
ENSBTAG00000020036	XM_024989837
ENSBTAG00000009778	
ENSBTAG00000009778	XM_059886665
ENSBTAG00000009778	XM_024992102
ENSBTAG00000004381	XM_002686363
ENSBTAG00000017326	XM_005204536
ENSBTAG00000017326	XM_059882688
ENSBTAG00000017326	XM_059882691
ENSBTAG00000017326	XM_024986373
ENSBTAG00000017326	XM_024986367
ENSBTAG00000013802	
ENSBTAG00000013802	XM_059885132
ENSBTAG00000013802	XM_024990126
ENSBTAG00000013802	XM_015465675
ENSBTAG00000013802	XM_010803544
ENSBTAG00000013802	XM_059885130
ENSBTAG00000013802	XM_059885134
ENSBTAG00000013802	XM_024990124
ENSBTAG00000013802	XM_059885131
ENSBTAG00000013802	XM_059885133
ENSBTAG00000026624	XM_024992307
ENSBTAG00000002972	XM_024991822
ENSBTAG00000002972	XM_024991824
ENSBTAG00000002972	XM_024991819
ENSBTAG00000002972	XM_059886481
ENSBTAG00000002972	XM_024991821
ENSBTAG00000002972	XM_059886482
ENSBTAG00000002972	XM_024991820
ENSBTAG00000003775	XM_059883711
ENSBTAG00000003775	
ENSBTAG00000003774	
ENSBTAG00000009314	
ENSBTAG00000009314	XM_015465692
ENSBTAG00000009314	XM_010803549
ENSBTAG00000018747	XM_024989604
ENSBTAG00000018747	
ENSBTAG00000011640	XM_059884897
ENSBTAG00000024195	XM_010803536
ENSBTAG00000024195	
ENSBTAG00000019711	
ENSBTAG00000019711	XM_059887039
ENSBTAG00000019198	
ENSBTAG00000007112	
ENSBTAG00000007112	XM_005204607
ENSBTAG00000007112	XM_059884870
ENSBTAG00000007112	XM_015465600
ENSBTAG00000007112	XM_005204606
ENSBTAG00000007112	XM_024989714
ENSBTAG00000007112	XM_015465597
ENSBTAG00000013825	XM_059886189
ENSBTAG00000013825	XM_005206934
ENSBTAG00000013825	XM_059886190
ENSBTAG00000013825	XM_005206933
ENSBTAG00000013825	XM_059886191
ENSBTAG00000013825	
ENSBTAG00000013825	XM_059886188
ENSBTAG00000064751	
ENSBTAG00000073273	
ENSBTAG00000057846	
ENSBTAG00000062215	
ENSBTAG00000070306	
ENSBTAG00000075673	
ENSBTAG00000072568	
ENSBTAG00000056629	
ENSBTAG00000050962	XM_024987533
ENSBTAG00000050962	XM_024987526
ENSBTAG00000050962	XM_024987525
ENSBTAG00000050962	XM_024987523
ENSBTAG00000050962	XM_024987536
ENSBTAG00000050962	XM_059883422
ENSBTAG00000050962	XM_059883424
ENSBTAG00000063108	
ENSBTAG00000070993	
ENSBTAG00000006625	
ENSBTAG00000006625	XM_003585901
ENSBTAG00000006625	XM_059885136
ENSBTAG00000077756	
ENSBTAG00000075746	
ENSBTAG00000077559	
ENSBTAG00000071271	
ENSBTAG00000017986	XM_059885138
ENSBTAG00000017986	XM_059885137
ENSBTAG00000017986	XM_010803559
ENSBTAG00000075069	
ENSBTAG00000075530	
ENSBTAG00000065358	
ENSBTAG00000009062	XM_024989838
ENSBTAG00000048719	
ENSBTAG00000056784	
ENSBTAG00000009527	XM_005204596
ENSBTAG00000009527	XM_005204598
ENSBTAG00000009527	XM_005204597
ENSBTAG00000009527	XM_059884791
ENSBTAG00000061510	
ENSBTAG00000065428	
ENSBTAG00000079140	
ENSBTAG00000066802	
ENSBTAG00000057718	
ENSBTAG00000071207	
ENSBTAG00000009526	
ENSBTAG00000009526	XM_005204541
ENSBTAG00000009526	XM_005204540
ENSBTAG00000009526	XM_005204542
ENSBTAG00000077650	
ENSBTAG00000069727	
ENSBTAG00000064266	
ENSBTAG00000077433	
ENSBTAG00000076181	
ENSBTAG00000020996	
ENSBTAG00000063515	
ENSBTAG00000012514	
ENSBTAG00000012514	XM_059883218
ENSBTAG00000012514	XM_024987118
ENSBTAG00000012514	XM_024987111
ENSBTAG00000012514	XM_005204538
ENSBTAG00000078338	
ENSBTAG00000063637	
ENSBTAG00000062563	
ENSBTAG00000060728	
ENSBTAG00000003746	
ENSBTAG00000003746	XM_024986992
ENSBTAG00000003746	XM_024986990
ENSBTAG00000003746	XM_010803499
ENSBTAG00000079168	
ENSBTAG00000078872	
ENSBTAG00000075421	
ENSBTAG00000056860	
ENSBTAG00000076216	
ENSBTAG00000075448	
ENSBTAG00000020997	
ENSBTAG00000020997	XM_010801022
ENSBTAG00000070575	
ENSBTAG00000004124	
ENSBTAG00000073560	
ENSBTAG00000013662	
ENSBTAG00000055590	
ENSBTAG00000068649	
ENSBTAG00000013663	XM_059886727
ENSBTAG00000013663	
ENSBTAG00000013663	XM_005201216
ENSBTAG00000070581	
ENSBTAG00000002910	XM_015465413
ENSBTAG00000002910	XM_024988381
ENSBTAG00000002910	XM_024988389
ENSBTAG00000002910	XM_024988385
ENSBTAG00000002910	XM_024988378
ENSBTAG00000069175	
ENSBTAG00000071268	
ENSBTAG00000013664	XM_059887756
ENSBTAG00000013664	XM_002684706
ENSBTAG00000071696	
ENSBTAG00000042573	
ENSBTAG00000047742	
ENSBTAG00000017571	XM_059887048
ENSBTAG00000017571	XM_059887046
ENSBTAG00000017571	XM_024992607
ENSBTAG00000017571	XM_024992606
ENSBTAG00000017571	XM_024992603
ENSBTAG00000017571	XM_059887045
ENSBTAG00000017571	XM_024992602
ENSBTAG00000017571	XM_024992599
ENSBTAG00000017571	XM_024992600
ENSBTAG00000017571	XM_024992611
ENSBTAG00000017571	XM_059887047
ENSBTAG00000017571	XM_024992601
ENSBTAG00000017571	XM_024992605
ENSBTAG00000017571	XM_059887050
ENSBTAG00000017571	XM_024992609
ENSBTAG00000017571	XM_024992610
ENSBTAG00000017571	XM_059887051
ENSBTAG00000017571	XM_024992612
ENSBTAG00000017571	XM_059887049
ENSBTAG00000026032	
ENSBTAG00000013667	
ENSBTAG00000015010	
ENSBTAG00000015010	XM_002684708
ENSBTAG00000015010	XM_005201221
ENSBTAG00000019680	
ENSBTAG00000019680	XM_024989648
ENSBTAG00000019680	XM_059884814
ENSBTAG00000019680	XM_059884813
ENSBTAG00000019680	XM_015465572
ENSBTAG00000062331	XM_002686401
ENSBTAG00000039540	
ENSBTAG00000000736	XM_024985320
ENSBTAG00000000736	XM_024985295
ENSBTAG00000000736	XM_024985288
ENSBTAG00000000736	
ENSBTAG00000000736	XM_024985308
ENSBTAG00000000736	XM_024985291
ENSBTAG00000000736	XM_024985283
ENSBTAG00000000736	XM_024985337
ENSBTAG00000000736	XM_024985275
ENSBTAG00000000736	XM_024985270
ENSBTAG00000000736	XM_024985285
ENSBTAG00000000736	XM_059882029
ENSBTAG00000000736	XM_024985329
ENSBTAG00000000736	XM_024985314
ENSBTAG00000000736	XM_024985333
ENSBTAG00000004471	XM_059889797
ENSBTAG00000004471	XM_059889660
ENSBTAG00000004471	XM_059889613
ENSBTAG00000004471	XM_059889584
ENSBTAG00000004471	XM_059889583
ENSBTAG00000004471	XM_024995854
ENSBTAG00000004471	XM_059889699
ENSBTAG00000004471	XM_059889728
ENSBTAG00000004471	XM_059889640
ENSBTAG00000004471	XM_059889575
ENSBTAG00000004471	XM_059889591
ENSBTAG00000004471	
ENSBTAG00000004471	XM_059889760
ENSBTAG00000014889	
ENSBTAG00000004833	
ENSBTAG00000003485	
ENSBTAG00000014302	XM_059874633
ENSBTAG00000014302	XM_010801012
ENSBTAG00000003484	XM_010803504
ENSBTAG00000003484	
ENSBTAG00000034442	
ENSBTAG00000034442	XM_059874261
ENSBTAG00000034442	XM_059893128
ENSBTAG00000034442	XM_059893092
ENSBTAG00000034442	XM_059893162
ENSBTAG00000034442	XM_059893071
ENSBTAG00000034442	XM_059893059
ENSBTAG00000034442	XM_059893115
ENSBTAG00000034442	XM_059893145
ENSBTAG00000034442	XM_059893090
ENSBTAG00000034442	XM_059893324
ENSBTAG00000034442	XM_059893278
ENSBTAG00000034442	XM_005201211
ENSBTAG00000034442	XM_005201210
ENSBTAG00000034442	XM_059893302
ENSBTAG00000034442	XM_059893245
ENSBTAG00000014649	XM_024985639
ENSBTAG00000014649	XM_059882253
ENSBTAG00000014649	XM_024985641
ENSBTAG00000014649	
ENSBTAG00000014649	XM_059882249
ENSBTAG00000014649	XM_059882248
ENSBTAG00000012516	
ENSBTAG00000061934	
ENSBTAG00000044107	XM_059885139
ENSBTAG00000013321	XM_010801015
ENSBTAG00000013321	
ENSBTAG00000018281	
ENSBTAG00000061396	
ENSBTAG00000004459	XM_015470833
ENSBTAG00000004459	
ENSBTAG00000002721	XM_059884620
ENSBTAG00000002721	XM_010803514
ENSBTAG00000002721	XM_024989412
ENSBTAG00000002721	XM_005204563
ENSBTAG00000002721	XM_005204566
ENSBTAG00000002721	XM_024989411
ENSBTAG00000002721	XM_005204562
ENSBTAG00000002721	XM_010803515
ENSBTAG00000002721	XM_005204564
ENSBTAG00000002721	XM_005204567
ENSBTAG00000002721	XM_005204560
ENSBTAG00000002721	XM_005204565
ENSBTAG00000002721	XM_059884619
ENSBTAG00000012140	XM_015470857
ENSBTAG00000012140	
ENSBTAG00000036282	
ENSBTAG00000008382	XM_059886835
ENSBTAG00000008382	XM_059886834
ENSBTAG00000008382	XM_059886836
ENSBTAG00000008382	XM_024992401
ENSBTAG00000008382	XM_024992400
ENSBTAG00000008382	XM_059886833
ENSBTAG00000051566	
ENSBTAG00000002720	
ENSBTAG00000016363	
ENSBTAG00000002888	
ENSBTAG00000002888	XM_059886837
ENSBTAG00000002888	XM_002687180
ENSBTAG00000002719	XM_024988221
ENSBTAG00000002719	XM_059883828
ENSBTAG00000002719	XM_059883825
ENSBTAG00000002719	
ENSBTAG00000026966	
ENSBTAG00000026836	XM_059890043
ENSBTAG00000016990	
ENSBTAG00000016990	XM_024990128
ENSBTAG00000016990	XM_002686388
ENSBTAG00000016990	XM_024990129
ENSBTAG00000016990	XM_024990127
ENSBTAG00000005305	
ENSBTAG00000015662	XM_059890066
ENSBTAG00000015662	XM_059890068
ENSBTAG00000015662	XM_024994093
ENSBTAG00000015662	XM_059890065
ENSBTAG00000015662	XM_059890046
ENSBTAG00000015662	XM_059890049
ENSBTAG00000015662	XM_024994100
ENSBTAG00000015662	XM_024994077
ENSBTAG00000015662	XM_024994088
ENSBTAG00000011153	XM_059886619
ENSBTAG00000011153	XM_059886621
ENSBTAG00000011153	XM_024992014
ENSBTAG00000011153	XM_059886620
ENSBTAG00000014765	
ENSBTAG00000014003	
ENSBTAG00000072048	XM_005204605
