tx	gene_id	symbol	gene_biotype	transcript_biotype	chrom	source
ENSMUST00000103648.4	ENSMUSG00000095088	Trav11d	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000197128.2	ENSMUSG00000105393	Trav7d-5	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103588.4	ENSMUSG00000076778	Trav13d-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000181038.3	ENSMUSG00000095854	Trav14d-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000187138.2	ENSMUSG00000095854	Trav14d-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000199746.5	ENSMUSG00000094914	Trav9d-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000178824.2	ENSMUSG00000094914	Trav9d-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103592.2	ENSMUSG00000093939	Trav4d-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000178252.3	ENSMUSG00000095495	Trav9d-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000177703.3	ENSMUSG00000094607	Trav12d-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000197954.2	ENSMUSG00000094758	Trav13d-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103596.3	ENSMUSG00000094758	Trav13d-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000196802.2	ENSMUSG00000095560	Trav14d-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103597.3	ENSMUSG00000095560	Trav14d-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000199800.2	ENSMUSG00000105953	Trav15d-2-dv6d-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000196023.2	ENSMUSG00000093953	Trav3d-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103599.3	ENSMUSG00000093953	Trav3d-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000200548.2	ENSMUSG00000090868	Trav9d-4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000167409.2	ENSMUSG00000090868	Trav9d-4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103600.3	ENSMUSG00000096505	Trav4d-4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000179701.2	ENSMUSG00000096106	Trav5d-4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000178650.3	ENSMUSG00000095756	Trav6d-7	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000196756.2	ENSMUSG00000105721	Trav7d-6	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000179512.3	ENSMUSG00000095643	Trav13d-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103606.2	ENSMUSG00000076796	Trav16d-dv11	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000196079.2	ENSMUSG00000096329	Trav13d-4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103607.3	ENSMUSG00000096329	Trav13d-4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103608.4	ENSMUSG00000094619	Trav14d-3-dv8	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103609.2	ENSMUSG00000095736	Trav7n-4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103611.2	ENSMUSG00000076800	Trav6n-5	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103612.2	ENSMUSG00000095646	Trav10n	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000181793.3	ENSMUSG00000076802	Trav6n-6	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103613.3	ENSMUSG00000076802	Trav6n-6	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000199753.2	ENSMUSG00000105629	Trav7n-5	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000198359.2	ENSMUSG00000104629	Trav13n-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000196639.2	ENSMUSG00000096827	Trav14n-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000177578.2	ENSMUSG00000096827	Trav14n-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000198913.5	ENSMUSG00000093813	Trav9n-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000180097.2	ENSMUSG00000093813	Trav9n-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103618.2	ENSMUSG00000095572	Trav4n-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000177705.3	ENSMUSG00000096541	Trav9n-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000179583.3	ENSMUSG00000093915	Trav12n-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000196941.2	ENSMUSG00000094779	Trav13n-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103622.3	ENSMUSG00000094779	Trav13n-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000197614.2	ENSMUSG00000093801	Trav14n-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103623.3	ENSMUSG00000093801	Trav14n-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000199112.2	ENSMUSG00000104915	Trav15n-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000197557.2	ENSMUSG00000094877	Trav3n-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103625.3	ENSMUSG00000094877	Trav3n-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103626.3	ENSMUSG00000094231	Trav9n-4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103627.3	ENSMUSG00000093969	Trav4n-4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000179997.2	ENSMUSG00000096168	Trav5n-4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000179607.3	ENSMUSG00000095370	Trav6n-7	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000178100.3	ENSMUSG00000105080	Trav7n-6	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000179580.3	ENSMUSG00000096038	Trav13n-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103632.4	ENSMUSG00000076821	Trav8n-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000199280.2	ENSMUSG00000076822	Trav16n	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103633.2	ENSMUSG00000076822	Trav16n	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000196105.2	ENSMUSG00000076823	Trav13n-4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103634.3	ENSMUSG00000076823	Trav13n-4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103652.5	ENSMUSG00000076824	Trav14n-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103635.3	ENSMUSG00000076824	Trav14n-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103636.4	ENSMUSG00000096417	Trav7-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103637.6	ENSMUSG00000076826	Trav4-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000180549.3	ENSMUSG00000094220	Trav6-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000183604.2	ENSMUSG00000094220	Trav6-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000177622.4	ENSMUSG00000096908	Trav7-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000181728.3	ENSMUSG00000094766	Trav7-4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103643.4	ENSMUSG00000076831	Trav8-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103581.6	ENSMUSG00000096900	Trav9-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000181210.3	ENSMUSG00000096149	Trav6-5	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000183488.2	ENSMUSG00000096149	Trav6-5	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103583.5	ENSMUSG00000096551	Trav10	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103584.4	ENSMUSG00000095862	Trav6-6	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103585.4	ENSMUSG00000096615	Trav11	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000200609.2	ENSMUSG00000106620	Trav7-5	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103651.4	ENSMUSG00000076839	Trav13-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000198297.2	ENSMUSG00000076840	Trav14-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103654.3	ENSMUSG00000094966	Trav9-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103655.3	ENSMUSG00000093966	Trav4-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000180972.3	ENSMUSG00000096656	Trav12-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103657.6	ENSMUSG00000095958	Trav12-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103658.4	ENSMUSG00000076846	Trav13-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000179267.4	ENSMUSG00000095711	Trav14-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000184874.2	ENSMUSG00000095711	Trav14-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103660.4	ENSMUSG00000076848	Trav15-2-dv6-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000181768.3	ENSMUSG00000094828	Trav3-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000183835.2	ENSMUSG00000094828	Trav3-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103662.6	ENSMUSG00000096678	Trav9-4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103663.6	ENSMUSG00000096096	Trav4-4-dv10	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103664.6	ENSMUSG00000095607	Trav5-4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103638.6	ENSMUSG00000095126	Trav6-7-dv9	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103641.6	ENSMUSG00000096138	Trav7-6	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000184687.2	ENSMUSG00000096138	Trav7-6	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103667.6	ENSMUSG00000076855	Trav16	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000180380.3	ENSMUSG00000094562	Trav13-4-dv7	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000184905.2	ENSMUSG00000094562	Trav13-4-dv7	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103589.6	ENSMUSG00000094212	Trav14-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103670.4	ENSMUSG00000076858	Trav3-4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103671.4	ENSMUSG00000087666	Trav13-5	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103672.9	ENSMUSG00000096397	Trav17	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000186545.2	ENSMUSG00000096397	Trav17	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103674.6	ENSMUSG00000076862	Trav19	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000180938.3	ENSMUSG00000076863	Trav21-dv12	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000197130.5	ENSMUSG00000076865	Trdv2-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103677.3	ENSMUSG00000076865	Trdv2-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103678.4	ENSMUSG00000076866	Trdv2-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000199137.2	ENSMUSG00000106289	Trav23	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103679.3	ENSMUSG00000076867	Trdv4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103685.3	ENSMUSG00000076873	Trdv5	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103553.3	ENSMUSG00000076744	Trgv7	TR_V_gene	TR_V_gene	13	cdna
ENSMUST00000103554.5	ENSMUSG00000076745	Trgv4	TR_V_gene	TR_V_gene	13	cdna
ENSMUST00000199017.2	ENSMUSG00000076747	Trgv5	TR_V_gene	TR_V_gene	13	cdna
ENSMUST00000103556.3	ENSMUSG00000076747	Trgv5	TR_V_gene	TR_V_gene	13	cdna
ENSMUST00000103563.3	ENSMUSG00000076754	Trgv2	TR_V_gene	TR_V_gene	13	cdna
ENSMUST00000103564.3	ENSMUSG00000076755	Trgv1	TR_V_gene	TR_V_gene	13	cdna
ENSMUST00000198330.2	ENSMUSG00000076746	Trgv6	TR_V_gene	TR_V_gene	13	cdna
ENSMUST00000198663.5	ENSMUSG00000076750	Trgv3	TR_V_gene	TR_V_gene	13	cdna
ENSMUST00000103567.6	ENSMUSG00000076758	Trav1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000196939.2	ENSMUSG00000076759	Trav2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000198058.2	ENSMUSG00000076764	Trav6-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000180717.3	ENSMUSG00000095387	Trav6d-4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000181360.3	ENSMUSG00000095689	Trav12d-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103616.5	ENSMUSG00000096653	Trav15d-1-dv6d-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000197007.2	ENSMUSG00000096129	Trav12d-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000198439.5	ENSMUSG00000076795	Trav8d-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000198682.2	ENSMUSG00000096055	Trav12n-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000197433.5	ENSMUSG00000094413	Trav15n-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000196674.2	ENSMUSG00000096531	Trav12n-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000180711.3	ENSMUSG00000094468	Trav6-4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000200115.2	ENSMUSG00000096825	Trav12-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000200101.2	ENSMUSG00000094016	Trav15-1-dv6-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103673.11	ENSMUSG00000076861	Trav18	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103676.9	ENSMUSG00000076864	Trdv1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103262.3	ENSMUSG00000076461	Trbv1	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000103263.3	ENSMUSG00000076462	Trbv2	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000103264.3	ENSMUSG00000076463	Trbv3	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000103265.5	ENSMUSG00000107486	Trbv4	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000103266.3	ENSMUSG00000076465	Trbv5	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000103267.3	ENSMUSG00000095574	Trbv12-1	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000194399.2	ENSMUSG00000076467	Trbv13-1	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000103269.3	ENSMUSG00000094525	Trbv12-2	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000103270.4	ENSMUSG00000076469	Trbv13-2	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000103271.2	ENSMUSG00000076470	Trbv13-3	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000103272.4	ENSMUSG00000076471	Trbv14	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000103273.3	ENSMUSG00000076472	Trbv15	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000103274.4	ENSMUSG00000076473	Trbv16	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000103275.4	ENSMUSG00000076474	Trbv17	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000103276.3	ENSMUSG00000076475	Trbv19	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000103277.2	ENSMUSG00000076476	Trbv20	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000195087.2	ENSMUSG00000076477	Trbv21	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000193997.6	ENSMUSG00000076478	Trbv23	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000193064.2	ENSMUSG00000076479	Trbv26	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000103281.3	ENSMUSG00000076480	Trbv29	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000191646.6	ENSMUSG00000076481	Trbv30	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000193003.2	ENSMUSG00000076499	Trbv31	TR_V_gene	TR_V_gene	6	cdna
ENSMUST00000196323.2	ENSMUSG00000104876	Trdc	TR_C_gene	TR_C_gene	14	cdna
ENSMUST00000198398.5	ENSMUSG00000076928	Trac	TR_C_gene	TR_C_gene	14	cdna
ENSMUST00000103740.2	ENSMUSG00000076928	Trac	TR_C_gene	TR_C_gene	14	cdna
ENSMUST00000103558.3	ENSMUSG00000076749	Trgc1	TR_C_gene	TR_C_gene	13	cdna
ENSMUST00000103561.3	ENSMUSG00000076752	Trgc2	TR_C_gene	TR_C_gene	13	cdna
ENSMUST00000179181.3	ENSMUSG00000076757	Trgc4	TR_C_gene	TR_C_gene	13	cdna
ENSMUST00000198163.2	ENSMUSG00000091682	Trgc3	TR_C_gene	TR_C_gene	13	cdna
ENSMUST00000192856.6	ENSMUSG00000076490	Trbc1	TR_C_gene	TR_C_gene	6	cdna
ENSMUST00000103299.3	ENSMUSG00000076498	Trbc2	TR_C_gene	TR_C_gene	6	cdna
ENSMUST00000103405.2	ENSMUSG00000076604	Igkj1	IG_J_gene	IG_J_gene	6	cdna
ENSMUST00000198234.2	ENSMUSG00000076605	Igkj2	IG_J_gene	IG_J_gene	6	cdna
ENSMUST00000103406.2	ENSMUSG00000076605	Igkj2	IG_J_gene	processed_transcript	6	cdna
ENSMUST00000199487.2	ENSMUSG00000076606	Igkj3	IG_J_gene	IG_J_gene	6	cdna
ENSMUST00000103407.3	ENSMUSG00000076606	Igkj3	IG_J_gene	processed_transcript	6	cdna
ENSMUST00000103408.2	ENSMUSG00000076607	Igkj4	IG_J_gene	IG_J_gene	6	cdna
ENSMUST00000199459.2	ENSMUSG00000076608	Igkj5	IG_J_gene	IG_J_gene	6	cdna
ENSMUST00000103409.2	ENSMUSG00000076608	Igkj5	IG_J_gene	processed_transcript	6	cdna
ENSMUST00000103427.2	ENSMUSG00000076618	Ighj4	IG_J_gene	IG_J_gene	12	cdna
ENSMUST00000103428.2	ENSMUSG00000076619	Ighj3	IG_J_gene	IG_J_gene	12	cdna
ENSMUST00000192746.2	ENSMUSG00000076620	Ighj2	IG_J_gene	IG_J_gene	12	cdna
ENSMUST00000103429.2	ENSMUSG00000076620	Ighj2	IG_J_gene	processed_transcript	12	cdna
ENSMUST00000103430.2	ENSMUSG00000076621	Ighj1	IG_J_gene	IG_J_gene	12	cdna
ENSMUST00000199490.2	ENSMUSG00000106668	Iglj1	IG_J_gene	IG_J_gene	16	cdna
ENSMUST00000200074.2	ENSMUSG00000106405	Iglj3p	IG_J_gene	IG_J_gene	16	cdna
ENSMUST00000200211.2	ENSMUSG00000105231	Iglj3	IG_J_gene	IG_J_gene	16	cdna
ENSMUST00000198313.2	ENSMUSG00000105066	Iglj4	IG_J_gene	IG_J_gene	16	cdna
ENSMUST00000197969.2	ENSMUSG00000104975	Iglj2	IG_J_gene	IG_J_gene	16	cdna
ENSMUST00000103410.3	ENSMUSG00000076609	Igkc	IG_C_gene	IG_C_gene	6	cdna
ENSMUST00000194738.6	ENSMUSG00000095079	Igha	IG_C_gene	IG_C_gene	12	cdna
ENSMUST00000178282.3	ENSMUSG00000095079	Igha	IG_C_gene	IG_C_gene	12	cdna
ENSMUST00000223335.2	ENSMUSG00000087642	Ighe	IG_C_gene	IG_C_gene	12	cdna
ENSMUST00000137336.3	ENSMUSG00000087642	Ighe	IG_C_gene	IG_C_gene	12	cdna
ENSMUST00000103416.9	ENSMUSG00000076612	Ighg2c	IG_C_gene	IG_C_gene	12	cdna
ENSMUST00000195192.2	ENSMUSG00000076612	Ighg2c	IG_C_gene	IG_C_gene	12	cdna
ENSMUST00000192188.3	ENSMUSG00000076613	Ighg2b	IG_C_gene	IG_C_gene	12	cdna
ENSMUST00000103418.3	ENSMUSG00000076613	Ighg2b	IG_C_gene	IG_C_gene	12	cdna
ENSMUST00000194304.6	ENSMUSG00000076614	Ighg1	IG_C_gene	IG_C_gene	12	cdna
ENSMUST00000103420.3	ENSMUSG00000076614	Ighg1	IG_C_gene	IG_C_gene	12	cdna
ENSMUST00000223179.2	ENSMUSG00000076615	Ighg3	IG_C_gene	IG_C_gene	12	cdna
ENSMUST00000103423.3	ENSMUSG00000076615	Ighg3	IG_C_gene	IG_C_gene	12	cdna
ENSMUST00000194162.6	ENSMUSG00000104213	Ighd	IG_C_gene	IG_C_gene	12	cdna
ENSMUST00000192250.2	ENSMUSG00000104213	Ighd	IG_C_gene	IG_C_gene	12	cdna
ENSMUST00000177715.8	ENSMUSG00000076617	Ighm	IG_C_gene	IG_C_gene	12	cdna
ENSMUST00000103426.3	ENSMUSG00000076617	Ighm	IG_C_gene	IG_C_gene	12	cdna
ENSMUST00000200568.2	ENSMUSG00000105906	Iglc1	IG_C_gene	IG_C_gene	16	cdna
ENSMUST00000200235.2	ENSMUSG00000105547	Iglc3	IG_C_gene	IG_C_gene	16	cdna
ENSMUST00000197046.2	ENSMUSG00000106039	Iglc4	IG_C_gene	IG_C_gene	16	cdna
ENSMUST00000198182.2	ENSMUSG00000076937	Iglc2	IG_C_gene	IG_C_gene	16	cdna
ENSMUST00000103749.3	ENSMUSG00000076937	Iglc2	IG_C_gene	IG_C_gene	16	cdna
ENSMUST00000103304.3	ENSMUSG00000094491	Igkv1-133	IG_V_gene	IG_V_gene	6	cdna
ENSMUST00000103305.2	ENSMUSG00000096580	Igkv1-132	IG_V_gene	IG_V_gene	6	cdna
ENSMUST00000103306.2	ENSMUSG00000076505	Igkv1-131	IG_V_gene	IG_V_gene	6	cdna
ENSMUST00000200586.2	ENSMUSG00000076508	Igkv17-127	IG_V_gene	IG_V_gene	6	cdna
ENSMUST00000103309.3	ENSMUSG00000076508	Igkv17-127	IG_V_gene	IG_V_gene	6	cdna
ENSMUST00000103310.3	ENSMUSG00000094345	Igkv14-126	IG_V_gene	IG_V_gene	6	cdna
ENSMUST00000196768.2	ENSMUSG00000096632	Igkv9-124	IG_V_gene	IG_V_gene	6	cdna
ENSMUST00000103312.3	ENSMUSG00000096632	Igkv9-124	IG_V_gene	IG_V_gene	6	cdna
ENSMUST00000103313.3	ENSMUSG00000076512	Igkv9-123	IG_V_gene	IG_V_gene	6	cdna
ENSMUST00000103314.3	ENSMUSG00000095497	Igkv1-122	IG_V_gene	IG_V_gene	6	cdna
ENSMUST00000197515.2	ENSMUSG00000076514	Igkv17-121	IG_V_gene	IG_V_gene	6	cdna
ENSMUST00000103315.3	ENSMUSG00000076514	Igkv17-121	IG_V_gene	IG_V_gene	6	cdna
ENSMUST00000103316.2	ENSMUSG00000094872	Igkv9-120	IG_V_gene	IG_V_gene	6	cdna
