event	event_type	arm	dPSI_oriented
ENSMUSG00000005370;AF:17:88282490:88282833-88287619:88287131:88287225-88287619:+	AF	control	0.38331138343131466
ENSMUSG00000005672;A5:5:75799818-75801153:75799806-75801153:+	A5	control	0.23650553237191196
ENSMUSG00000006398;A5:4:118292073-118292670:118292073-118292974:-	A5	control	0.4065378218220815
ENSMUSG00000006398;SE:4:118292073-118292670:118292898-118292974:-	SE	control	0.16743702632435198
ENSMUSG00000006418;SE:2:167345521-167348967:167349117-167352796:+	SE	control	0.2903602603843592
ENSMUSG00000006818;A5:17:13227320-13229407:13227273-13229407:+	A5	control	0.14945137079744786
ENSMUSG00000007656;A5:9:74945005-74945189:74945001-74945189:+	A5	control	0.550034186353345
ENSMUSG00000007656;AF:9:74945000:74945243-74959515:74959259:74959285-74959515:+	AF	control	0.8112413651898455
ENSMUSG00000008859;AF:13:18071687-18118324:18118534:18071687-18118602:18118824:-	AF	control	0.17728508358924372
ENSMUSG00000010592;AF:17:50596266-50599849:50599920:50596266-50600435:50600664:-	AF	control	0.323539122499398
ENSMUSG00000010607;AF:9:22068142:22068209-22069028:22068242:22068323-22069028:+	AF	control	0.1358917514686694
ENSMUSG00000011257;SE:4:123189114-123189543:123189629-123189723:+	SE	control	0.39239970975513017
ENSMUSG00000011960;SE:15:98444475-98444626:98444789-98446547:-	SE	control	0.3107673924978597
ENSMUSG00000012405;A5:14:4198851-4199236:4198737-4199236:+	A5	control	0.4792228944309697
ENSMUSG00000012405;A5:14:4198873-4199236:4198737-4199236:+	A5	control	0.4777046150018543
ENSMUSG00000014226;A5:1:160034279-160035949:160034279-160035958:-	A5	control	0.15038876169754178
ENSMUSG00000014633;SE:8:117620898-117623079:117623253-117637867:-	SE	control	0.40682353180025416
ENSMUSG00000014769;AF:17:15714785-15718415:15718560:15714785-15719495:15720013:-	AF	control	0.17965315188891628
ENSMUSG00000015357;SE:9:65217593-65219380:65219421-65223926:+	SE	control	0.22580775095830352
ENSMUSG00000015575;AF:17:26895131:26895288-26901652:26895386:26895552-26901652:+	AF	control	0.4186542807452435
ENSMUSG00000015697;A3:3:95247376-95247473:95247373-95247473:-	A3	control	0.43271389119947223
ENSMUSG00000015869;SE:11:116368941-116369351:116369466-116370478:-	SE	control	0.24963049429610418
ENSMUSG00000016559;RI:11:115914451:115914604-115914708:115914845:-	RI	control	0.3714653703859675
ENSMUSG00000016619;SE:15:84807851-84808970:84809097-84811569:+	SE	control	0.19223710493733015
ENSMUSG00000017404;AF:11:97917536:97917588-97918649:97917750:97917816-97918649:+	AF	control	0.15200663531239267
ENSMUSG00000017715;A3:11:117896717-117905400:117896717-117905473:+	A3	control	0.1786242269281343
ENSMUSG00000018363;SE:11:106747090-106750538:106750622-106755538:-	SE	control	0.2888634662901899
ENSMUSG00000018363;SE:11:106759494-106759823:106759934-106762328:-	SE	control	0.28886346629018983
ENSMUSG00000018363;SE:11:106762436-106766727:106766765-106811007:-	SE	control	0.28310132880124494
ENSMUSG00000018379;A3:11:87940041-87940238:87940041-87940803:+	A3	control	0.3363992891072147
ENSMUSG00000018379;SE:11:87940041-87940238:87940424-87940803:+	SE	control	0.3071192105620285
ENSMUSG00000018648;AF:11:83941746-83957811:83957906:83941746-83959307:83959405:-	AF	control	0.22850657154501616
ENSMUSG00000018648;AF:11:83941746-83959096:83959183:83941746-83959307:83959405:-	AF	control	0.17925704686488664
ENSMUSG00000018666;SE:11:96693648-96697442:96697590-96699010:+	SE	control	0.4438138157318548
ENSMUSG00000019179;MX:5:135807655-135812159:135812327-135814783:135807655-135813038:135813121-135814783:+	MX	control	0.2485832833847969
ENSMUSG00000019179;SE:5:135812327-135813038:135813121-135814783:+	SE	control	0.20019922592917794
ENSMUSG00000019710;A5:3:87827012-87829124:87826958-87829124:+	A5	control	0.32974268412265806
ENSMUSG00000019792;SE:10:30442502-30463435:30463591-30466021:-	SE	control	0.20916266365432545
ENSMUSG00000019792;SE:10:30466931-30467017:30467098-30470111:-	SE	control	0.2289352112934543
ENSMUSG00000019804;SE:10:42378488-42401950:42402045-42409145:+	SE	control	0.195689291515053
ENSMUSG00000019818;AF:10:41395497:41395696-41397914:41395888:41395946-41397914:+	AF	control	0.6652734769213537
ENSMUSG00000019837;A5:10:40133289-40133562:40133289-40133575:-	A5	control	0.4112687558757576
ENSMUSG00000019843;MX:10:39402926-39405433:39405597-39408012:39402926-39405915:39406070-39408012:+	MX	control	0.4503649954797991
ENSMUSG00000019843;SE:10:39402926-39405433:39405597-39408012:+	SE	control	0.4019545332685125
ENSMUSG00000019942;AF:10:69185988-69186594:69186660:69185988-69188666:69188740:-	AF	control	0.31426347351656025
ENSMUSG00000020079;A5:10:62277025-62279158:62277025-62279174:-	A5	control	0.3580414052623661
ENSMUSG00000020107;AF:10:59832436-59838240:59838591:59832436-59838778:59838957:-	AF	control	0.22964586365380246
ENSMUSG00000020107;SE:10:59826729-59832270:59832436-59838240:-	SE	control	0.2282863247155591
ENSMUSG00000020107;SE:10:59826729-59832270:59832436-59838778:-	SE	control	0.47828766749610896
ENSMUSG00000020115;A5:10:121407929-121412179:121407929-121412183:-	A5	control	0.7122501889100328
ENSMUSG00000020288;AF:11:23446881-23447502:23447538:23446881-23447775:23448030:-	AF	control	0.5116285617711611
ENSMUSG00000020358;A3:11:51492717-51493420:51492305-51493420:-	A3	control	0.36538056641235844
ENSMUSG00000020358;SE:11:51492305-51492577:51492717-51493420:-	SE	control	0.2364494405306315
ENSMUSG00000020530;AF:11:84760898-84761289:84761317:84760898-84761464:84761472:-	AF	control	0.5552619623489138
ENSMUSG00000020561;SE:12:33479907-33483504:33483645-33486935:+	SE	control	0.2374034132713827
ENSMUSG00000020687;A3:11:104417010-104417689:104416992-104417689:-	A3	control	0.18498804933124408
ENSMUSG00000020687;SE:11:104411662-104412207:104412414-104413549:-	SE	control	0.2086299582132033
ENSMUSG00000020737;AF:11:115394000-115404853:115404974:115394000-115405046:115405197:-	AF	control	0.41675900776057523
ENSMUSG00000020737;AF:11:115394000-115404853:115404974:115394000-115405046:115405213:-	AF	control	0.3356390414503405
ENSMUSG00000020738;SE:11:115425509-115425896:115425971-115426605:-	SE	control	0.3715717526237311
ENSMUSG00000020952;A3:12:51489366-51491578:51489366-51491767:+	A3	control	0.3646428932635435
ENSMUSG00000020961;AF:12:91710652-91737365:91737944:91710652-91745773:91745911:-	AF	control	0.3744855006278167
ENSMUSG00000020961;AF:12:91710652-91745773:91745911:91710652-91752901:91753210:-	AF	control	0.3943659670997435
ENSMUSG00000020961;AL:12:91680856:91680898-91707245:91701828:91702242-91707245:-	AL	control	0.3744855006278166
ENSMUSG00000021018;AF:16:20536415:20536744-20537574:20536856:20536916-20537574:+	AF	control	0.2370017947639359
ENSMUSG00000021018;AF:16:20536580:20536744-20537574:20536922:20537419-20537574:+	AF	control	0.502041732761731
ENSMUSG00000021192;SE:12:102460118-102461959:102462022-102463706:+	SE	control	0.2727124529631071
ENSMUSG00000021243;AF:12:85017671:85017739-85017989:85017755:85017817-85017989:+	AF	control	0.17190034190191894
ENSMUSG00000021270;A3:12:110662214-110662686:110662114-110662686:-	A3	control	0.3982622697336381
ENSMUSG00000021270;AF:12:110662114-110662686:110662829:110662114-110669057:110669162:-	AF	control	0.34257918996946535
ENSMUSG00000021282;AF:12:111504631:111504673-111505842:111505216:111505381-111505842:+	AF	control	0.308636854593314
ENSMUSG00000021376;AF:13:47195055-47196580:47196600:47195055-47198037:47198213:-	AF	control	0.3882234386120542
ENSMUSG00000021376;AL:13:47178655:47178848-47180728:47178927:47178953-47180728:-	AL	control	0.3902283803852394
ENSMUSG00000021377;SE:13:47242091-47251631:47251819-47252819:-	SE	control	0.18209573007777802
ENSMUSG00000021417;A3:13:35177213-35177997:35177203-35177997:-	A3	control	0.7979191472194862
ENSMUSG00000021687;A5:13:94389578-94421728:94389578-94422074:-	A5	control	0.3133888321801276
ENSMUSG00000021771;AF:14:21875306:21875416-21881919:21881337:21881735-21881919:+	AF	control	0.19709678047392976
ENSMUSG00000021831;AF:14:45544088-45544349:45544708:45544088-45556160:45556228:-	AF	control	0.5684991098804891
ENSMUSG00000021831;AF:14:45544088-45555834:45556029:45544088-45556160:45556228:-	AF	control	0.5922298863153737
ENSMUSG00000021963;AF:14:58035883:58036054-58038951:58036089:58036221-58038951:+	AF	control	0.2967837642048814
ENSMUSG00000021969;SE:14:58084519-58087602:58087637-58094067:-	SE	control	0.3921512182958188
ENSMUSG00000021981;AL:14:59776654-59784435:59786352:59776654-59822953:59823213:+	AL	control	0.3951158566059933
ENSMUSG00000022024;SE:14:79857239-79859544:79859651-79862281:+	SE	control	0.1232072496398686
ENSMUSG00000022034;A3:14:66069243-66070113:66069015-66070113:-	A3	control	0.1278335387605879
ENSMUSG00000022200;SE:15:12343237-12343359:12343407-12349454:+	SE	control	0.41091070066407376
ENSMUSG00000022257;SE:15:34238568-34258827:34258938-34272490:+	SE	control	0.36858264155146103
ENSMUSG00000022285;SE:15:36791232-36793723:36793919-36794389:-	SE	control	0.3138680089120638
ENSMUSG00000022292;AF:15:37947095-37953843:37955382:37947095-37961088:37961135:-	AF	control	0.4889741824655115
ENSMUSG00000022292;SE:15:37947095-37953843:37953998-37961088:-	SE	control	0.32076457040934214
ENSMUSG00000022299;A3:15:38961637-38963268:38961592-38963268:-	A3	control	0.3554692328612997
ENSMUSG00000022370;SE:15:55406780-55411538:55411631-55418716:-	SE	control	0.13434108602686562
ENSMUSG00000022433;AF:15:79323059-79325421:79326018:79323059-79326128:79326203:-	AF	control	0.5787361542932864
ENSMUSG00000022433;AF:15:79323059-79325421:79326018:79323059-79339691:79339767:-	AF	control	0.6109728376974466
ENSMUSG00000022533;A5:16:30151204-30152542:30151204-30152577:-	A5	control	0.3505023606881656
ENSMUSG00000022533;SE:16:30134719-30140624:30140713-30141690:-	SE	control	0.13736148694023148
ENSMUSG00000022706;A3:16:18694186-18695221:18694157-18695221:-	A3	control	0.24543663683366224
ENSMUSG00000022774;A3:16:31775247-31775653:31775247-31775757:+	A3	control	0.37884125043370176
ENSMUSG00000022774;AL:16:31775247-31775757:31777290:31775247-31780469:31780599:+	AL	control	0.1207023060384016
ENSMUSG00000022812;SE:16:38028452-38037475:38037513-38040334:+	SE	control	0.3805234824194076
ENSMUSG00000022940;AL:16:94159622:94160033-94166214:94165306:94165646-94166214:-	AL	control	0.6343630447890789
ENSMUSG00000022940;AL:16:94159622:94160033-94166214:94165494:94165646-94166214:-	AL	control	0.5794836758040032
ENSMUSG00000022948;AF:16:93383205-93383313:93383497:93383205-93384707:93385959:-	AF	control	0.32115899226329114
ENSMUSG00000022948;RI:16:93382067:93382190-93383125:93383205:-	RI	control	0.5318969717938623
ENSMUSG00000023852;A5:17:15951301-15952116:15951279-15952116:+	A5	control	0.1990848146547607
ENSMUSG00000023940;A5:17:53995148-53996208:53995148-53996239:-	A5	control	0.12525264976715947
ENSMUSG00000024091;SE:17:65889748-65894039:65894161-65899286:-	SE	control	0.17660117007188275
ENSMUSG00000024146;A5:17:87333103-87335127:87333081-87335127:+	A5	control	0.12821876990132974
ENSMUSG00000024240;AF:18:6462991-6490463:6490856:6462991-6515865:6516108:-	AF	control	0.44165117801377607
ENSMUSG00000024425;AF:18:38543449:38543539-38575970:38552037:38552229-38575970:+	AF	control	0.6918467211624623
ENSMUSG00000024446;A5:17:36568416-36568498:36568416-36568675:-	A5	control	0.28968758583335075
ENSMUSG00000024446;SE:17:36568416-36568498:36568598-36568675:-	SE	control	0.27558336568960984
ENSMUSG00000024576;AL:18:61713522-61715107:61715187:61713522-61720497:61720602:+	AL	control	0.38572316191837447
ENSMUSG00000024576;AL:18:61713558-61715107:61715189:61713558-61720497:61721375:+	AL	control	0.32343853815578266
ENSMUSG00000024667;AF:19:10532528-10533063:10533115:10532528-10533479:10533602:-	AF	control	0.36052858348423145
ENSMUSG00000024667;AF:19:10532528-10533077:10533120:10532528-10533479:10533602:-	AF	control	0.5074270798346985
ENSMUSG00000024712;AF:19:17371407:17371756-17372562:17371932:17371983-17372562:+	AF	control	0.13140993102283655
ENSMUSG00000024750;AF:19:21250051:21250106-21253790:21250610:21250706-21253790:+	AF	control	0.2178446820249265
ENSMUSG00000024750;SE:19:21254453-21255019:21255122-21256989:+	SE	control	0.1977212189389076
ENSMUSG00000024789;AF:19:29229228:29229518-29239583:29229841:29229919-29239583:+	AF	control	0.16472266645214906
ENSMUSG00000024805;AF:19:36356468:36356559-36389356:36387148:36387309-36389356:+	AF	control	0.37503855003744646
ENSMUSG00000024844;SE:19:5415186-5415846:5415984-5416596:-	SE	control	0.40520293839431887
ENSMUSG00000024856;A5:19:4147917-4148005:4147907-4148005:+	A5	control	0.19673368151552806
ENSMUSG00000024986;AF:19:37423258:37423681-37425637:37425187:37425302-37425637:+	AF	control	0.22858417335472445
ENSMUSG00000025283;SE:X:153997130-153998117:153998226-153998597:-	SE	control	0.1986712664532861
ENSMUSG00000025290;AF:14:24540798:24540826-24541818:24540835:24541092-24541818:+	AF	control	0.6941987315759977
ENSMUSG00000025290;SE:14:24543561-24544120:24544137-24545498:+	SE	control	0.28832588434641665
ENSMUSG00000025290;SE:14:24543561-24545498:24545517-24545843:+	SE	control	0.3458008006929217
ENSMUSG00000025545;AF:14:122419116:122419193-122548656:122495453:122495665-122548656:+	AF	control	0.3668510751155447
ENSMUSG00000025795;AF:10:121253097-121297815:121298118:121253097-121311908:121312252:-	AF	control	0.3238550350577317
ENSMUSG00000025817;SE:2:5850196-5852919:5853001-5859627:+	SE	control	0.36305613843899764
ENSMUSG00000026018;A3:1:60067405-60082229:60067395-60082229:-	A3	control	0.38021008611613777
ENSMUSG00000026245;A3:1:78456748-78458945:78456650-78458945:-	A3	control	0.24278804912494145
ENSMUSG00000026353;AF:1:128171701:128171857-128179940:128171899:128172289-128179940:+	AF	control	0.1742746969996566
ENSMUSG00000026511;SE:1:181952540-181956249:181956317-181958901:+	SE	control	0.495894623420676
ENSMUSG00000026558;SE:1:167057559-167062261:167062403-167064172:-	SE	control	0.27299752388209375
ENSMUSG00000026605;A5:1:189411338-189412418:189411338-189412469:-	A5	control	0.20008395974717652
ENSMUSG00000026659;AF:1:170708597-170712477:170712573:170708597-170712636:170712768:-	AF	control	0.6530930035796729
ENSMUSG00000026683;A3:1:169356380-169358891:169353018-169358891:-	A3	control	0.4665048396114795
ENSMUSG00000026974;AF:2:24839804:24840059-24841485:24840222:24840486-24841485:+	AF	control	0.25659823093165257
ENSMUSG00000026986;AF:2:23938846-23939011:23939091:23938846-23939332:23939406:-	AF	control	0.18746606613716688
ENSMUSG00000027012;AF:2:71042102:71042189-71044783:71042348:71042418-71044783:+	AF	control	0.5138355960605996
ENSMUSG00000027079;SE:2:84554561-84555873:84556500-84557507:-	SE	control	0.18242478493124564
ENSMUSG00000027109;SE:2:72801858-72809242:72809373-72809831:-	SE	control	0.4049501864125541
ENSMUSG00000027122;AF:2:106799903-106800656:106800736:106799903-106804617:106804769:-	AF	control	0.4432962878208078
ENSMUSG00000027201;SE:2:124940438-124940717:124940767-124942239:-	SE	control	0.23790759512948106
ENSMUSG00000027346;AF:2:132414174-132419988:132420153:132414174-132429541:132429649:-	AF	control	0.4238506223066516
ENSMUSG00000027346;SE:2:132398896-132400527:132400602-132406547:-	SE	control	0.30511310983482776
ENSMUSG00000027357;AF:2:132688586:132689045-132691786:132689654:132689800-132691786:+	AF	control	0.35201069910946714
ENSMUSG00000027357;AF:2:132688586:132689045-132691786:132689658:132689811-132691786:+	AF	control	0.37917712192794784
ENSMUSG00000027361;AF:2:126505008-126517276:126517464:126505008-126517954:126518257:-	AF	control	0.5895956929644892
ENSMUSG00000027454;AF:2:150747320:150747381-150754701:150751514:150751713-150754701:+	AF	control	0.2899644326884956
ENSMUSG00000027469;SE:2:152690217-152690297:152690431-152696841:+	SE	control	0.3697538723510983
ENSMUSG00000027620;SE:2:156019305-156020800:156020872-156021097:-	SE	control	0.4515643253754893
ENSMUSG00000027671;AF:3:32760447:32760577-32766017:32762656:32763029-32766017:+	AF	control	0.30504248886295016
ENSMUSG00000027680;SE:3:34118468-34119123:34119203-34122310:+	SE	control	0.4505435798018018
ENSMUSG00000027680;SE:3:34118468-34122310:34122401-34123066:+	SE	control	0.38190160789563965
ENSMUSG00000027715;SE:3:36623238-36624225:36624314-36624885:-	SE	control	0.1820456895666004
ENSMUSG00000027942;AL:3:89966107-89967669:89968301:89966107-89968945:89969752:+	AL	control	0.27395691839621655
ENSMUSG00000027942;SE:3:89960916-89963514:89963631-89965792:+	SE	control	0.3179898714704381
ENSMUSG00000027944;SE:3:89903211-89903318:89903424-89903554:-	SE	control	0.260199089330074
ENSMUSG00000027944;SE:3:89904881-89905045:89905310-89905835:-	SE	control	0.2898024534758735
ENSMUSG00000028109;SE:3:95492525-95492846:95492900-95494692:+	SE	control	0.21764764587360647
ENSMUSG00000028433;SE:4:41235594-41251535:41251671-41275040:-	SE	control	0.33765026419624355
ENSMUSG00000028483;MX:4:83372385-83373252:83373288-83384202:83372385-83378400:83378596-83384202:+	MX	control	0.543350719804133
ENSMUSG00000028483;SE:4:83372385-83373252:83373288-83384202:+	SE	control	0.41772893668789146
ENSMUSG00000028484;A3:4:83380710-83381832:83380411-83381832:-	A3	control	0.5203717822957157
ENSMUSG00000028560;A3:4:98812480-98814673:98812480-98814692:+	A3	control	0.19726978127873052
ENSMUSG00000028639;A3:4:119136408-119138767:119136396-119138767:-	A3	control	0.20288752130416254
ENSMUSG00000028676;A3:4:135590513-135590834:135590513-135590837:+	A3	control	0.10381233651651867
ENSMUSG00000028676;AL:4:135590887-135591040:135591180:135590887-135594437:135595693:+	AL	control	0.5229179862849223
ENSMUSG00000028676;AL:4:135590887-135591040:135593126:135590887-135594437:135595693:+	AL	control	0.19835734321663723
ENSMUSG00000028676;AL:4:135590887-135591040:135593126:135590887-135594437:135597219:+	AL	control	0.3453396848755083
ENSMUSG00000028691;A3:4:116542857-116544575:116542857-116544604:+	A3	control	0.29075623016109997
ENSMUSG00000028691;AF:4:116542796:116542857-116544604:116543084:116543333-116544604:+	AF	control	0.3783534109644595
ENSMUSG00000028693;SE:4:116462960-116467600:116468574-116469169:-	SE	control	0.18957768546125364
ENSMUSG00000028693;SE:4:116469278-116471527:116471607-116476067:-	SE	control	0.5693680047379371
ENSMUSG00000028868;A5:4:132858039-132903752:132858034-132903752:+	A5	control	0.3771135970646452
ENSMUSG00000028907;RI:4:124573495:124573605-124575986:124576116:-	RI	control	0.38734745201898757
ENSMUSG00000028907;RI:4:124576206:124576299-124577028:124577141:-	RI	control	0.38734745201898757
ENSMUSG00000029068;A3:4:155902444-155902996:155902444-155904786:+	A3	control	0.3326199941200594
ENSMUSG00000029068;RI:4:155902996:155903121-155904786:155904885:+	RI	control	0.5544625912041629
ENSMUSG00000029068;SE:4:155902444-155902996:155903121-155904786:+	SE	control	0.2393701132469438
ENSMUSG00000029076;AF:4:156077368:156077791-156080646:156077834:156078026-156080646:+	AF	control	0.4660857095947436
ENSMUSG00000029076;AF:4:156077627:156077791-156080646:156077834:156078026-156080646:+	AF	control	0.3440194451486023
ENSMUSG00000029110;A5:5:34493885-34499866:34493828-34499866:+	A5	control	0.18443714603345274
ENSMUSG00000029110;AF:5:34493633:34493885-34499866:34494029:34494153-34499866:+	AF	control	0.2369196731212896
ENSMUSG00000029110;AF:5:34493672:34493885-34499866:34494029:34494153-34499866:+	AF	control	0.5401750002883544
ENSMUSG00000029110;AF:5:34493724:34493828-34499866:34494029:34494153-34499866:+	AF	control	0.3556492733163482
ENSMUSG00000029177;A3:5:30826396-30827036:30826396-30827082:+	A3	control	0.40977638963001023
ENSMUSG00000029177;SE:5:30824457-30827036:30827172-30829808:+	SE	control	0.23495435599105347
ENSMUSG00000029247;A5:5:77099515-77099616:77099248-77099616:+	A5	control	0.3693184504742868
ENSMUSG00000029249;AF:5:77413338:77413635-77415779:77414043:77414260-77415779:+	AF	control	0.3328033747973095
ENSMUSG00000029322;AF:5:100710628-100710707:100711289:100710628-100720011:100720111:-	AF	control	0.18821171245157697
ENSMUSG00000029390;SE:5:124681227-124681550:124681570-124684959:+	SE	control	0.19580306833522798
ENSMUSG00000029397;SE:5:92105509-92105737:92105856-92110489:-	SE	control	0.17539429394159167
ENSMUSG00000029451;A5:4:143578649-143579325:143578224-143579325:+	A5	control	0.1773313095443843
ENSMUSG00000029465;AF:5:122529941:122530060-122534880:122533877:122533949-122534880:+	AF	control	0.5711735474167021
ENSMUSG00000029465;AF:5:122530029:122530060-122534880:122533877:122533949-122534880:+	AF	control	0.3619247071106934
ENSMUSG00000029465;AL:5:122543241-122543932:122544126:122543241-122552067:122552247:+	AL	control	0.4397093608586089
ENSMUSG00000029470;SE:5:122865354-122865462:122865527-122865808:+	SE	control	0.4653639094879827
ENSMUSG00000029610;A5:5:143843573-143846399:143843573-143846519:-	A5	control	0.13763385657249994
ENSMUSG00000029614;A3:5:121345258-121346454:121345258-121346473:+	A3	control	0.15272654258015905
ENSMUSG00000029836;AF:6:51447340:51447411-51448796:51447675:51447714-51448796:+	AF	control	0.5539197408100631
ENSMUSG00000029836;AF:6:51447675:51447714-51448796:51447726:51447864-51448796:+	AF	control	0.5523603499750626
ENSMUSG00000029836;SE:6:51452353-51455418:51455580-51458704:+	SE	control	0.329363006880487
ENSMUSG00000029920;A5:6:65019945-65020190:65019714-65020190:+	A5	control	0.6386326162752416
ENSMUSG00000030042;A5:6:82629148-82629366:82629148-82629460:-	A5	control	0.37296194756731127
ENSMUSG00000030042;AF:6:82629148-82629366:82629499:82629148-82629605:82629910:-	AF	control	0.40547444780830555
ENSMUSG00000030057;A5:6:87822539-87822638:87822539-87822656:-	A5	control	0.4012858661341002
ENSMUSG00000030057;A5:6:87822539-87822656:87822539-87822659:-	A5	control	0.21421359647639535
ENSMUSG00000030105;AF:6:108760060:108760338-108790588:108771858:108771893-108790588:+	AF	control	0.24270503997317128
ENSMUSG00000030189;SE:6:131347377-131352937:131353143-131356321:-	SE	control	0.19831167975346553
ENSMUSG00000030246;SE:6:142436330-142439826:142439943-142441294:-	SE	control	0.4486907792071066
ENSMUSG00000030335;A5:6:125169396-125169479:125169171-125169479:+	A5	control	0.18129006389004623
ENSMUSG00000030432;A3:7:4796625-4797049:4796625-4797063:+	A3	control	0.17383033670478742
ENSMUSG00000030512;AF:7:65708751:65708835-65711872:65710047:65710333-65711872:+	AF	control	0.5157273604502199
ENSMUSG00000030512;AF:7:65708751:65708835-65711872:65710292:65710440-65711872:+	AF	control	0.49208827236589636
ENSMUSG00000030662;AF:14:121148636:121148755-121154768:121153259:121153581-121154768:+	AF	control	0.23597197613245902
ENSMUSG00000030774;AF:7:97437748:97438181-97503643:97492142:97492348-97503643:+	AF	control	0.1701661778799412
ENSMUSG00000031134;A3:X:56437058-56438212:56437042-56438212:-	A3	control	0.3373254139765589
ENSMUSG00000031134;A3:X:56437061-56438212:56437058-56438212:-	A3	control	0.30825156944227533
ENSMUSG00000031154;A3:X:7740192-7740469:7740192-7740472:+	A3	control	0.25843828745057434
ENSMUSG00000031154;A5:X:7738438-7739793:7738420-7739793:+	A5	control	0.3624571675155761
ENSMUSG00000031154;RI:X:7733754:7733818-7733906:7734062:+	RI	control	0.26994242832038273
ENSMUSG00000031226;AL:X:104126411-104126622:104128792:104126411-104159920:104160696:+	AL	control	0.33941892292480136
ENSMUSG00000031362;A3:X:72285801-72286184:72285788-72286184:-	A3	control	0.2837110851017929
ENSMUSG00000031601;AF:8:40963267-40964581:40964763:40963267-40968745:40968888:-	AF	control	0.2854952957953388
ENSMUSG00000031601;AF:8:40963267-40964581:40964795:40963267-40968745:40968888:-	AF	control	0.4951764472242873
ENSMUSG00000031683;SE:8:79539709-79546616:79546714-79547677:-	SE	control	0.3107278671895489
ENSMUSG00000031812;A5:8:122320389-122322725:122320284-122322725:+	A5	control	0.2545627697344292
ENSMUSG00000031812;AF:8:122317220:122317303-122320229:122317451:122317662-122320229:+	AF	control	0.30706525524536976
ENSMUSG00000031812;RI:8:122320229:122320284-122322725:122322831:+	RI	control	0.27600104973402345
ENSMUSG00000031812;RI:8:122320229:122320389-122322725:122322831:+	RI	control	0.4910981583154637
ENSMUSG00000031879;A3:8:105367725-105367943:105367720-105367943:-	A3	control	0.16265760224821502
ENSMUSG00000032113;AF:9:36635316-36637093:36637159:36635316-36637859:36638361:-	AF	control	0.43421849152625025
ENSMUSG00000032113;AF:9:36637174-36637679:36637747:36637174-36637859:36637866:-	AF	control	0.4877436065463071
ENSMUSG00000032328;SE:9:79684613-79687823:79687930-79700256:-	SE	control	0.23300771201589843
ENSMUSG00000032407;SE:9:95377986-95382741:95382926-95384593:-	SE	control	0.3869792951276987
ENSMUSG00000032745;SE:13:111585533-111589558:111589781-111589907:-	SE	control	0.24029607888685423
ENSMUSG00000032883;SE:1:78635820-78640858:78640997-78659310:+	SE	control	0.4161610708709102
ENSMUSG00000032883;SE:1:78635820-78659310:78659727-78665954:+	SE	control	0.21691794821286606
ENSMUSG00000033020;A5:15:79030383-79035536:79030338-79035536:+	A5	control	0.11893822293816703
ENSMUSG00000033107;AF:18:21077682:21077814-21107356:21094529:21094857-21107356:+	AF	control	0.1659517557670932
